moa,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
2,False,True,0.5079537981725163,True,0.8021428571428573,True,0.5082898362234385,RandomForest,RandomForest,True,0.8021428571428573
0,False,False,0.15609437306745785,False,0.1195998445998446,False,0.4877667694557392,RandomForest,RandomForest,False,0.1195998445998446
1,True,True,0.5034911375493415,True,0.828989898989899,True,0.997859736923998,RandomForest,RandomForest,True,0.828989898989899
0,False,False,0.15609437306745785,False,0.10061044294393552,False,0.4887323194871476,RandomForest,RandomForest,False,0.10061044294393552
0,False,False,0.15609437306745785,False,0.09112581459269224,False,0.4882957851661465,RandomForest,RandomForest,False,0.09112581459269224
0,False,False,0.15609437306745785,False,0.11362923301003798,False,0.4884444009472122,RandomForest,RandomForest,False,0.11362923301003798
0,False,False,0.15609437306745785,False,0.09858080677945144,False,0.4887902184435181,RandomForest,RandomForest,False,0.09858080677945144
0,False,False,0.15609437306745785,False,0.10836044921361453,False,0.4880726856461126,RandomForest,RandomForest,False,0.10836044921361453
0,False,False,0.15609437306745785,False,0.10786235902089558,False,0.4890479931365215,RandomForest,RandomForest,False,0.10786235902089558
0,True,False,0.12911562043452518,False,0.08499783787846019,False,0.4868901471235161,RandomForest,RandomForest,False,0.08499783787846019
2,True,False,0.3598224615767149,True,0.6488095238095237,True,0.5008196395903419,RandomForest,RandomForest,True,0.6488095238095237
0,False,False,0.15609437306745785,False,0.08088272483009325,False,0.4884854228187537,RandomForest,RandomForest,False,0.08088272483009325
0,False,False,0.15609437306745785,False,0.10479177959280654,False,0.488306173028541,RandomForest,RandomForest,False,0.10479177959280654
0,False,False,0.15609437306745785,False,0.0797489464093936,False,0.4887616798893428,RandomForest,RandomForest,False,0.0797489464093936
0,False,False,0.15609437306745785,False,0.09781270805938737,False,0.4882117455624351,RandomForest,RandomForest,False,0.09781270805938737
2,True,False,0.3598224615767149,False,0.4416666666666666,True,0.5006817271095662,AdaBoost,RandomForest,False,0.4416666666666666
0,True,False,0.12911562043452518,False,0.08673696436212483,False,0.4882340887846445,RandomForest,RandomForest,False,0.08673696436212483
1,True,True,0.5034911375493415,True,0.9075,True,0.9994579024255,RandomForest,RandomForest,True,0.9075
0,False,False,0.15609437306745785,False,0.08189749122133212,False,0.48694230183687703,RandomForest,RandomForest,False,0.08189749122133212
0,False,False,0.15609437306745785,False,0.06414806264561466,False,0.4885872458629944,RandomForest,RandomForest,False,0.06414806264561466
0,True,False,0.12911562043452532,False,0.08136512354278125,False,0.4869472863307909,RandomForest,RandomForest,False,0.08136512354278125
6,False,True,0.86484286081768,True,0.5216666666666666,True,0.5025117260256635,RandomForest,RandomForest,True,0.5216666666666666
0,False,False,0.15609437306745785,False,0.0722893593914133,False,0.488911025819003,RandomForest,RandomForest,False,0.0722893593914133
0,False,False,0.15609437306745785,False,0.11718151234742273,False,0.4883796735820362,RandomForest,RandomForest,False,0.11718151234742273
0,False,False,0.15609437306745785,False,0.09986899065846436,False,0.4886577987728162,RandomForest,RandomForest,False,0.09986899065846436
2,False,True,0.5079537981725163,True,0.8016666666666665,True,0.5115960761953544,RandomForest,RandomForest,True,0.8016666666666665
