cbm,max_cc,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
0,5,False,False,0.2582189199197053,False,0.1142857142857143,False,0.4883699465559962,Voting,Voting,False,0.2649891536608445
11,3,True,True,0.9780753210525924,True,0.6,True,0.8153651909869931,Voting,Voting,True,0.9732932238809455
0,0,False,False,0.16644052861037473,False,0.0,False,1.7414416690708368e-08,Voting,Voting,False,0.1615411968116596
0,3,False,False,0.34023361205348984,False,0.42960058230458015,False,0.4993754056376544,Voting,Voting,False,0.3449162855350582
0,4,False,False,0.3438926367583697,False,0.451047957466039,True,0.5010366399288729,Voting,Voting,False,0.34851589814990147
4,4,False,False,0.4106829205677931,False,0.10848096348096348,False,0.4844482256530157,Voting,Voting,False,0.41285246837670525
0,2,False,False,0.2694676009600556,False,0.13989389192678667,False,0.4936711176247294,Voting,Voting,False,0.2760655627241167
0,2,False,False,0.2694676009600556,False,0.13989389192678667,False,0.4936711176247294,Voting,Voting,False,0.2760655627241167
0,4,False,False,0.3438926367583697,False,0.451047957466039,True,0.5010366399288729,Voting,Voting,False,0.34851589814990147
10,3,True,True,0.6372791901789896,False,0.2,False,0.23528089303047106,Voting,Voting,True,0.6254631879913132
9,2,True,True,0.9483103325064148,True,0.9689419111774308,True,0.5214653104865026,Voting,Voting,True,0.9357644026216041
9,3,True,True,0.6271764774932178,False,0.4849579687632559,False,0.4367453077329189,Voting,Voting,True,0.6215785351773768
4,2,False,True,0.5809272989513455,True,0.6369239069896964,True,0.502851707818804,Voting,Voting,True,0.5786309092208051
4,7,True,False,0.4487682808655496,False,0.0,False,0.4514991295865428,Voting,Voting,False,0.448848595412571
4,2,False,True,0.5809272989513455,True,0.6369239069896964,True,0.502851707818804,Voting,Voting,True,0.5786309092208051
4,2,False,True,0.5809272989513455,True,0.6369239069896964,True,0.502851707818804,Voting,Voting,True,0.5786309092208051
2,5,False,False,0.26169669996460976,False,0.06285714285714286,False,0.08231541779349251,Voting,Voting,False,0.25642041488674777
0,2,False,False,0.2694676009600556,False,0.13989389192678667,False,0.4936711176247294,Voting,Voting,False,0.2760655627241167
10,3,False,True,0.9860674425204534,True,1.0,True,0.8215288762083159,Voting,Voting,True,0.9812161645482929
0,2,False,False,0.14786643149917567,False,0.08163957384364116,False,0.4913970473195722,Voting,Voting,False,0.15691202471481744
0,1,False,False,0.11794760015210085,False,0.0,False,2.7096345461636054e-07,Voting,Voting,False,0.11487194814974773
5,2,False,True,0.5047543418738735,False,0.2966339682326019,False,0.3463187949046099,Voting,Voting,True,0.5003662247371371
0,5,False,False,0.14341618738921091,False,0.0,False,0.052715311550202495,Voting,Voting,False,0.1409542985822077
0,2,False,False,0.14786643149917567,False,0.08163957384364116,False,0.4913970473195722,Voting,Voting,False,0.15691202471481744
4,4,False,False,0.47832351884721,False,0.13912698412698415,False,0.4815838296132287,Voting,Voting,False,0.4784148505992178
4,4,False,False,0.47832351884721,False,0.13912698412698415,False,0.4815838296132287,Voting,Voting,False,0.4784148505992178
0,6,False,False,0.15680981975789646,False,0.0,False,0.009492503663990272,Voting,Voting,False,0.15276973374793648
0,3,False,False,0.2851585017764289,False,0.4336042934844927,False,0.4985633858581344,Voting,Voting,False,0.2908339753473166
5,5,False,True,0.5302104054776912,False,0.014285714285714284,False,0.3388894807998425,Voting,Voting,True,0.52473269318066
0,5,True,False,0.14341618738921091,False,0.0,False,0.052715311550202495,Voting,Voting,False,0.1409542985822077
0,6,False,False,0.15680981975789646,False,0.0,False,0.009492503663990272,Voting,Voting,False,0.15276973374793648
1,2,False,False,0.152588220014236,False,0.22076648841354726,False,0.20917568781383408,Voting,Voting,False,0.15409276449170797
0,1,False,False,0.11794760015210085,False,0.0,False,2.7096345461636054e-07,Voting,Voting,False,0.11487194814974773
0,1,False,False,0.11794760015210085,False,0.0,False,2.7096345461636054e-07,Voting,Voting,False,0.11487194814974773
4,4,False,False,0.47832351884721,False,0.13912698412698415,False,0.4815838296132287,Voting,Voting,False,0.4784148505992178
0,1,False,False,0.11794760015210085,False,0.0,False,2.7096345461636054e-07,Voting,Voting,False,0.11487194814974773
