max_cc,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble
1,False,False,0.3089470352775476,False,0.4860740843630003,False,0.4999208270195992,Voting
1,False,False,0.35727674751429794,False,0.4993872765896906,True,0.5007413119943264,Voting
14,True,True,0.9726794117574884,True,1.0,True,0.8813930214245088,Voting
2,False,False,0.26962347772061185,False,0.10136153449233944,False,0.4802145069769861,Voting
1,False,False,0.3674161303007513,False,0.4970490892892802,False,0.4997580550382646,Voting
2,False,False,0.21750459318813234,False,0.07660856687172476,False,0.4844035938399352,Voting
6,False,True,0.5615396218601711,False,0.06666666666666668,False,0.17920208027963205,Voting
1,False,False,0.3671681264474798,False,0.488325779972613,False,0.4998282668762922,Voting
1,False,False,0.3243801566979975,False,0.4177790313165044,False,0.4988482252305088,Voting
2,False,False,0.22446177057773645,False,0.123376088248211,False,0.4884539173910737,Voting
1,False,False,0.31597991370972944,False,0.4641691972504781,True,0.501374345669336,Voting
1,False,False,0.327766191790787,False,0.4644096027359413,False,0.4990976245245144,Voting
2,False,False,0.19861037797584868,False,0.11906643193407901,False,0.4940947475564103,Voting
1,False,False,0.3379125213371549,False,0.4978262850916234,False,0.4991671722629306,Voting
3,False,False,0.42452252318489697,True,0.5754761904761905,False,0.4988003702572014,Voting
1,False,False,0.3571176278087666,True,0.5291191350091841,False,0.4987174703919424,Voting
2,False,False,0.2542999055896977,False,0.14813674457637308,False,0.4833385592893063,Voting
3,False,False,0.3806192725115407,False,0.4608333333333334,True,0.5002447975951,Voting
1,False,False,0.33456733758124635,True,0.5048577173644079,False,0.49985940204556,Voting
5,False,True,0.8202253808773249,True,0.7666666666666667,True,0.8196670705722637,Voting
2,False,False,0.19360349612522265,False,0.2458988160961845,False,0.4927315996249804,Voting
1,False,False,0.3476514761573796,False,0.4183055800764864,False,0.4992873132483268,Voting
1,False,False,0.31854397587388106,False,0.4518206304353176,True,0.5010505176350477,Voting
2,False,False,0.2793427292401381,False,0.2671257857209869,False,0.4888979094820671,Voting
0,False,False,0.21395742348251726,False,0.09243552915591476,False,0.06993406334165457,Voting
1,False,False,0.3409335356439646,False,0.4407387756073729,False,0.4991635944871514,Voting
1,True,False,0.3371070573780375,True,0.5303910091909774,False,0.4993138000655364,RandomForest
2,False,False,0.2386808329438496,False,0.17344117870433656,False,0.4894272353203515,Voting
1,False,False,0.3770285579084223,True,0.5024761907811871,False,0.49725276195714796,Voting
2,False,False,0.2181414211417404,False,0.0,False,0.4926139608539569,Voting
1,False,False,0.33206170559482395,False,0.4633986333085868,True,0.5003681242753114,Voting
2,False,False,0.21569038975886493,False,0.06524132730015084,False,0.4806607214188742,Voting
2,False,False,0.20404365654321568,False,0.0454656862745098,False,0.4883496806025214,Voting
3,False,False,0.4308021681400979,False,0.421984126984127,True,0.501028682582057,Voting
16,True,True,0.9858041563568966,True,1.0,True,0.8803800314468672,Voting
2,False,False,0.2460214929598923,False,0.08305137844611528,False,0.04005950951704952,Voting
4,False,True,0.6706940146488974,True,1.0,True,0.92326581224398,Voting
1,False,False,0.27423359604974923,False,0.4350190180638792,False,0.4981887965487522,Voting
3,False,False,0.4472017026898663,False,0.2457142857142857,True,0.5015538683069845,Voting
0,False,False,0.2026537178690572,False,0.2003189339396236,False,0.16604456511736607,Voting
5,True,False,0.4520129891243624,False,0.0,False,0.08517094071393515,Voting
2,False,False,0.21603959517018176,False,0.19773118178690932,False,0.4811583897594096,Voting
6,False,True,0.5578174281953336,False,0.09166666666666666,False,0.18326999285018686,Voting
1,False,False,0.30317063940457634,True,0.5305338821014216,False,0.4997731392811904,Voting
1,False,False,0.35919622699508563,False,0.4930758957558387,False,0.4995072897489728,Voting
1,False,False,0.3131912454422264,False,0.43645180195285416,True,0.5000490124096739,Voting
1,False,False,0.31640259860236525,True,0.5027570426310313,False,0.4992336473574608,Voting
1,False,False,0.3546213762231287,False,0.4921888850102689,False,0.4995887179505117,Voting
1,False,False,0.3295656099139944,True,0.5137282247679142,False,0.4993842824757012,Voting
1,False,False,0.3303197703284422,False,0.4770380041528554,False,0.4994428312993865,Voting
1,False,False,0.3160282027323517,False,0.4738689538343821,True,0.5003952835496402,Voting
1,True,False,0.32079114401615083,False,0.4055170023984437,False,0.4989517260275888,Voting
1,False,False,0.32941749159059125,True,0.5183810608302203,False,0.4993695011838519,Voting
1,True,False,0.3341793447614582,False,0.4617372448045969,False,0.498635951051739,Voting
1,False,False,0.32973271360778594,False,0.47601912994041895,False,0.4985321119411666,Voting
3,True,False,0.3391204504688751,False,0.1341880341880342,False,0.4839294633236856,Voting
1,False,False,0.3491460534994859,False,0.4480718514962997,True,0.5002260773218371,Voting
2,False,False,0.18180734385386532,False,0.11810457516339873,False,0.485689443662261,Voting
3,False,False,0.39309732661238334,False,0.29341630591630585,False,0.4992373129628767,Voting
14,True,True,0.9664624310233872,True,1.0,True,0.8327766312749082,Voting
1,True,False,0.3215974183296271,False,0.42416351555271453,False,0.4983924345100752,Voting
2,False,False,0.1985809776062508,False,0.1628259459838407,False,0.4907913305799841,Voting
1,False,False,0.3443970725896193,False,0.4934645122416783,False,0.4990545465356549,Voting
6,False,True,0.5524138646801225,False,0.1,False,0.18385401747764854,Voting
1,False,False,0.31497439951539197,False,0.4801644563865996,True,0.5002418324782181,Voting
