moa,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble
2,False,True,0.8326294281781589,True,0.844004884004884,True,0.5172943573904463,RandomForest
0,False,False,0.3973662025166578,False,0.3925162654110023,False,0.4955143358537893,RandomForest
1,True,True,0.7323148141246681,True,1.0,True,0.9999997258918164,RandomForest
0,False,False,0.3936113475037311,False,0.3430335648614974,False,0.49642264269376396,RandomForest
0,False,False,0.4146150678347889,False,0.31158505467215725,False,0.49558503528176,RandomForest
0,False,False,0.3899409036847712,False,0.3202272954159746,False,0.4957135751241179,RandomForest
0,False,False,0.34575821078013824,False,0.33573800400657994,False,0.4938579188298067,RandomForest
0,False,False,0.3842980809550465,False,0.2905363204780317,False,0.4970023679364095,RandomForest
0,False,False,0.4012159746887763,False,0.3232348575574896,False,0.4953758747778289,RandomForest
0,True,False,0.3226052712726641,False,0.26233708652390597,False,0.4955067679807841,RandomForest
2,True,True,0.6956260734685603,True,0.6939971139971141,True,0.5068462669458126,RandomForest
0,False,False,0.3936113475037311,False,0.32495450908162776,False,0.4961818633875929,RandomForest
0,False,False,0.3143555427106026,False,0.3063507395961883,False,0.497163984041783,RandomForest
0,False,False,0.3639623415731668,False,0.33603237580658313,False,0.4954931988389833,RandomForest
0,False,False,0.3304317394724694,False,0.3198007644504449,False,0.4963544721536206,RandomForest
2,True,True,0.6636487210807577,True,0.6538095238095238,True,0.5069613438379568,RandomForest
0,True,False,0.3329194588913306,False,0.3476638236557351,False,0.4945990412585377,RandomForest
1,True,True,0.7254721738918567,True,1.0,True,0.9999996415525166,RandomForest
0,False,False,0.4265827722147657,False,0.3519425308168745,False,0.4957077817191601,RandomForest
0,False,False,0.3457582107801381,False,0.301754901866432,False,0.4959764240291283,RandomForest
0,True,False,0.3242457043311802,False,0.23345469936226246,False,0.4943089012108343,RandomForest
6,False,True,0.955448278068084,True,0.8835553133656848,True,0.509116040231092,RandomForest
0,False,False,0.3075963781964688,False,0.26687979190836364,False,0.4964038975820052,RandomForest
0,False,False,0.42255183103289595,False,0.21038345075316506,False,0.4947066602416592,RandomForest
0,False,False,0.3457582107801381,False,0.25645428093591666,False,0.4970081901559441,RandomForest
2,False,True,0.8706165274408167,True,0.8602369852369852,True,0.5159709957142707,RandomForest
2,True,True,0.635311030552263,True,0.8240245134981977,True,0.5047557699042158,RandomForest
0,False,False,0.35280873795183315,False,0.30329328958428764,False,0.4950996669184866,RandomForest
0,False,False,0.34927434076444924,False,0.29871749365522354,False,0.4959155971509271,RandomForest
0,False,False,0.3956861533093208,False,0.2553768672134463,False,0.4970695086700213,RandomForest
0,False,False,0.3675774499958835,False,0.2857956586301651,False,0.4972199851624712,RandomForest
0,False,False,0.4185614415401549,False,0.3870428494789349,False,0.4965805080160506,RandomForest
0,False,False,0.2928733206104978,False,0.31936048593662314,False,0.4954646192630823,RandomForest
0,False,False,0.388011918562206,False,0.2957155644844324,False,0.493464837077834,RandomForest
0,False,False,0.34575821078013824,False,0.22596246512789514,False,0.4956148560358358,RandomForest
0,False,False,0.3918051985144737,False,0.3191910409499596,False,0.4969544786785686,RandomForest
0,False,False,0.3744352212627343,False,0.3195958738743802,False,0.4959723187935774,RandomForest
0,False,False,0.3348773315274521,False,0.2861768642636912,False,0.4954554966406522,RandomForest
0,False,False,0.3712350876546404,False,0.3408720283853103,False,0.4951562609936582,RandomForest
0,False,False,0.31993479271226577,False,0.2181119208354992,False,0.4955686418598676,RandomForest
0,False,False,0.3744352212627343,False,0.29411148413961713,False,0.496082018479701,RandomForest
0,False,False,0.3408913137687559,False,0.3309594269162854,False,0.4956580632999833,RandomForest
0,False,False,0.34225732536068193,False,0.2904910485443831,False,0.4949332047315035,RandomForest
0,False,False,0.33043173947246945,False,0.2903482130748901,False,0.4950759860683254,RandomForest
0,False,False,0.3712350876546404,False,0.3344755013842913,False,0.4958688980497546,RandomForest
1,True,True,0.7274786677670946,True,1.0,True,0.9999997199858256,RandomForest
0,True,False,0.3591300164840987,False,0.1983755120881154,False,0.4939732826267703,RandomForest
0,False,False,0.3707305229090992,False,0.2979333966394013,False,0.4967150536202136,RandomForest
0,False,False,0.3006629152948184,False,0.3580226886581756,False,0.4943845063390681,RandomForest
