cbo,rfc,loc,moa,max_cc,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble
6,14,39,2,1,False,False,0.10517717369878833,False,0.1,False,0.12951244322376648,Voting
4,5,36,0,1,False,False,0.07031241893588826,False,0.0,False,0.03961803937179628,Voting
49,89,583,24,5,False,True,0.9964896389113084,False,0.4,False,0.4354899750930117,Voting
0,8,20,0,0,False,False,0.06715240482442451,False,0.0,False,0.07359393227313776,Voting
3,8,73,0,3,False,False,0.0758543823866579,False,0.1,False,0.07678242515142931,Voting
38,91,717,7,15,True,True,0.9802962344374944,False,0.4,False,0.4921223349481907,Voting
0,3,3,0,1,False,False,0.062368776799663864,False,0.0,False,0.003453929315873225,Voting
3,24,114,0,3,False,False,0.1033431161139609,False,0.1,False,0.07538237863465487,Voting
2,7,30,0,3,False,False,0.07434078262958775,False,0.0,False,0.07686419940960018,Voting
5,8,27,0,1,False,False,0.0772316813944816,False,0.0,False,0.02379391240643105,Voting
1,25,283,0,2,False,False,0.09036368128546643,False,0.0,False,0.10377842401028488,Voting
12,22,1700,3,1,True,False,0.31372296111915393,False,0.0,False,0.37288615890992544,Voting
1,7,14,0,1,False,False,0.06934413534749938,False,0.0,False,0.012153035497719707,Voting
0,0,0,0,0,False,False,0.056753808006522063,False,0.0,False,0.0012632372576130355,Voting
8,33,177,0,1,False,False,0.1255651182647573,True,0.7,True,0.5568198560960737,Voting
6,9,35,0,1,False,False,0.08040214022201576,False,0.3,False,0.14026022652190542,Voting
3,15,17,0,1,False,False,0.08608128435688828,False,0.0,False,0.029541775379866003,Voting
0,3,5,0,1,False,False,0.06229347239718275,False,0.0,False,0.004158357046632445,Voting
20,145,1226,1,10,False,True,0.9761696834963072,True,0.9,True,0.666132250986039,Voting
40,207,2594,9,41,True,True,0.999027227720976,True,1.0,True,0.9444038333668336,Voting
0,2,10,0,0,False,False,0.059028453340089715,False,0.0,False,0.008568557578375137,Voting
4,6,33,0,1,False,False,0.0719901782887307,False,0.0,False,0.0658359251929742,Voting
9,93,995,2,6,False,True,0.7377782727328284,False,0.5,True,0.5395351327598857,RandomForest
4,12,40,0,1,False,False,0.08158779756735263,False,0.0,False,0.04085185809973277,Voting
2,31,259,0,5,False,False,0.11361091246140392,False,0.0,False,0.022866675422140683,Voting
8,97,981,3,11,False,True,0.8662570856390758,True,0.9,True,0.5275286013724784,Voting
11,21,108,2,2,True,False,0.1321664859097293,False,0.1,False,0.142764629670839,Voting
0,5,28,1,1,False,False,0.06998998208431143,False,0.0,False,0.02514309904908014,Voting
5,8,32,0,1,False,False,0.07701171135116677,False,0.0,False,0.025490501060346886,Voting
0,3,5,0,1,False,False,0.06229347239718275,False,0.0,False,0.004158357046632445,Voting
3,0,0,0,0,False,False,0.061047735660851074,False,0.1,False,0.02636547451694036,Voting
19,46,350,3,1,False,False,0.24243822965281986,False,0.1,False,0.2902333984898605,Voting
2,5,11,0,1,False,False,0.06804352380094557,False,0.0,False,0.06293449629448479,Voting
0,2,9,0,0,True,False,0.05906447073991336,False,0.0,False,0.003426257039312541,Voting
9,36,181,0,1,False,False,0.13484544889296468,True,0.6,True,0.7182392101116777,Voting
2,7,29,0,1,False,False,0.0703604245838219,False,0.0,False,0.06418470679778218,Voting
2,23,167,1,2,False,False,0.4348520891411705,False,0.4,True,0.5011316435364627,Voting
4,11,24,0,1,False,False,0.08059367800437496,False,0.0,False,0.018183716004056237,Voting
26,98,962,0,10,False,True,0.9030049681060895,False,0.5,True,0.6463860224686161,RandomForest
2,4,31,0,2,False,False,0.0676466170268837,False,0.0,False,0.06046160277494084,Voting
79,37,296,0,5,False,True,0.6133890769069735,False,0.1,False,0.098829621481283,Voting
35,12,77,0,4,False,False,0.25860442280147383,False,0.2,False,0.13919332129398132,Voting
2,9,91,1,5,False,False,0.08607241558932804,False,0.0,False,0.05628898050371906,Voting
2,6,21,1,1,False,False,0.07520852382475808,False,0.0,False,0.028460836932932956,Voting
0,6,8,0,1,False,False,0.066496588020893,False,0.0,False,0.02375395159699361,Voting
