rfc,moa,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble
16,0,False,False,0.1667405023334451,False,0.0,False,0.037627285549026765,Voting
8,0,False,False,0.2091456484145948,False,0.0,False,0.4857254383626878,Voting
55,0,True,False,0.20328198449570986,False,0.0,False,0.12597259603822006,Voting
36,0,False,False,0.2664391963646308,False,0.0,False,0.4840094736692007,Voting
29,0,False,False,0.17683830453081034,False,0.0,False,0.4821296604485955,Voting
6,0,False,False,0.16034620440653596,False,0.07024743230625584,False,0.06180946468771435,Voting
13,1,False,False,0.16854227527598514,False,0.0,False,0.11340479915920294,Voting
125,6,False,True,0.8662372675857831,True,1.0,True,0.8265315757866497,Voting
11,0,False,False,0.16339051642732202,False,0.05705128205128205,True,0.5005361419597413,Voting
269,2,False,True,0.6230706418914211,False,0.2,False,0.12221105653009515,Voting
7,0,False,False,0.1609301175637122,False,0.02,False,0.06152912499622985,Voting
15,0,False,False,0.23271313642396066,False,0.0,False,0.0371987502311149,Voting
14,1,False,False,0.16921443794106347,False,0.0,False,0.10594612083726794,Voting
26,0,False,False,0.3076646511085031,False,0.0,False,0.0030387363310645506,Voting
15,0,False,False,0.23271313642396066,False,0.0,False,0.0371987502311149,Voting
8,0,False,False,0.2091456484145948,False,0.0,False,0.4857254383626878,Voting
9,0,False,False,0.1621355554012093,False,0.0,False,0.04888733935175095,Voting
56,3,False,False,0.2485823706341025,False,0.0,False,0.0818400380108542,Voting
36,0,False,False,0.2664391963646308,False,0.0,False,0.4840094736692007,Voting
3,0,False,False,0.15867097098121086,False,0.0,False,0.019051378481689564,Voting
114,5,False,True,0.8135954970447324,True,0.55,False,0.3387521445954595,AdaBoost
5,0,False,False,0.1597749665775853,False,0.0,False,0.4861544335292888,Voting
12,0,False,False,0.16403635782349346,False,0.0,False,0.483068064398075,Voting
6,0,False,False,0.16034620440653596,False,0.07024743230625584,False,0.06180946468771435,Voting
17,0,False,False,0.20911311468727176,False,0.2468037518037517,False,0.05970547628655315,Voting
2,1,False,False,0.16198736033232186,False,0.0,False,0.04727727719052712,Voting
6,0,False,False,0.16034620440653596,False,0.07024743230625584,False,0.06180946468771435,Voting
25,0,False,False,0.17351925543551686,False,0.0,False,0.003012163483315671,Voting
116,0,False,False,0.3181372948339709,False,0.0,False,0.1899617049084486,Voting
4,0,False,False,0.4606349556486424,True,0.9230591290816734,True,0.5115389793460526,Voting
4,2,False,False,0.1749795229994611,False,0.0,False,0.08024914749198518,Voting
22,0,False,False,0.1711536491307433,False,0.235,False,0.4970502923375252,Voting
27,1,False,False,0.17906473916307022,False,0.0,False,0.08842478078613386,Voting
20,1,False,False,0.17350551141232393,False,0.0,False,0.08971205407670825,Voting
156,5,False,True,0.5533161274308234,False,0.3,False,0.1881702288421357,Voting
57,1,False,False,0.20998624742441832,False,0.0,False,0.050996086346097515,Voting
163,5,False,True,0.5619586126459605,False,0.1,False,0.07914857923314238,Voting
73,0,False,False,0.2275414621448483,False,0.0,False,0.3147787881416592,Voting
43,0,False,False,0.3010886627627694,False,0.0,True,0.7267317824550772,Voting
13,0,False,False,0.2123133880941651,False,0.0,False,0.4832238019433601,Voting
63,1,False,True,0.5510900426722753,True,0.7371428571428571,True,0.8600287411494741,Voting
105,3,False,True,0.6838210301187018,True,0.7916666666666666,True,0.9729265662934868,Voting
54,0,False,True,0.5354275289526379,False,0.0,True,0.7612718368945335,RandomForest
60,1,False,False,0.21379491498052125,False,0.2,False,0.3282258233512105,Voting
56,2,False,False,0.22201992744047871,False,0.0,False,0.06769328276211745,Voting
47,1,False,False,0.1983088017274568,False,0.0,False,0.06433178804464998,Voting
67,0,False,False,0.21880208686898686,False,0.0,False,0.18815093053768506,Voting
55,1,False,False,0.20752859498711151,False,0.0,False,0.05735988559510154,Voting
5,1,False,False,0.16361913437417833,False,0.0,False,0.18737019969021496,Voting
35,0,False,False,0.2655075147679065,False,0.0,False,0.4876119156507754,Voting
4,2,False,False,0.16166697559517315,False,0.0,False,0.05139505908707261,Voting
41,0,False,True,0.5363428874524908,False,0.0,True,0.507656295243008,RandomForest
7,0,False,False,0.16759906537172586,False,0.0,False,0.0049374840137762855,Voting
10,0,False,False,0.1700563554603658,False,0.0,False,0.0051523874508591855,Voting
3,1,False,False,0.15825561440457733,False,0.0,False,0.029814384024482686,Voting
24,1,False,False,0.17647723155410447,False,0.0,False,0.08309138343492828,Voting
35,0,False,False,0.2789292265254134,False,0.0,False,0.1128254066847806,Voting
2,0,False,False,0.1638217418737317,False,0.0,False,0.00196657393484748,Voting
31,1,False,False,0.1840193985758072,False,0.0,False,0.08380642963973274,Voting
10,0,False,False,0.1700563554603658,False,0.0,False,0.0051523874508591855,Voting
99,3,False,False,0.3364894784423831,True,0.9,True,0.5087974460096275,Voting
43,1,False,False,0.19860013994719053,False,0.0,False,0.10969824927771056,Voting
37,0,False,False,0.198011882377872,False,0.0,False,0.11879790268560568,Voting
72,1,False,True,0.5767836717494425,True,0.95,True,0.5501094549600529,Voting
20,0,False,False,0.1792191174642257,False,0.0,False,0.004696931774041907,Voting
52,1,False,False,0.21095706835822148,False,0.0,False,0.08990776072260481,Voting
67,1,False,False,0.4568202730284536,True,0.5314285714285715,False,0.4993779621666552,Voting
22,0,False,False,0.29233488266510604,False,0.3761904761904761,False,0.09159020732668638,Voting
