rfc,lcom3,cam,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
27,0.7,1.0,False,False,0.12035259167216615,False,0.3,False,0.273018637204452,AdaBoost,AdaBoost,False,0.273018637204452
11,0.666666667,0.533333333,False,False,0.14642810020370775,False,0.0,False,0.09273598274730473,AdaBoost,AdaBoost,False,0.09273598274730473
19,0.0,0.466666667,False,False,0.11957042982883175,False,0.0,False,0.14180623443270576,AdaBoost,AdaBoost,False,0.14180623443270576
17,2.0,0.5,False,False,0.12197398201727574,False,0.1,False,0.2331681933586118,AdaBoost,AdaBoost,False,0.2331681933586118
49,0.863095238,0.355555556,True,True,0.9145298912945656,True,1.0,True,0.8593325797648658,AdaBoost,AdaBoost,True,0.8593325797648658
40,0.791666667,0.182222222,False,True,0.9017490995344876,True,0.7,False,0.4328204485594404,AdaBoost,AdaBoost,False,0.4328204485594404
72,0.871352785,0.344444444,True,True,0.9763540556795746,True,1.0,True,0.8533283852485004,AdaBoost,AdaBoost,True,0.8533283852485004
32,0.880681818,0.229813665,True,False,0.4571172118502587,True,0.8,True,0.6882398053807193,AdaBoost,AdaBoost,True,0.6882398053807193
93,0.878125,0.218181818,True,True,0.9942193733321384,True,1.0,True,0.9411982436309052,AdaBoost,AdaBoost,True,0.9411982436309052
44,0.761904762,0.5,True,True,0.5122969074916651,False,0.2,False,0.3842650593880957,Voting,Voting,True,0.5122969074916651
12,0.8,0.545454545,False,False,0.13458357338705132,False,0.0,False,0.03635312571498273,AdaBoost,AdaBoost,False,0.03635312571498273
42,0.875362319,1.0,False,True,0.7496170367487129,True,0.8,False,0.4519443483309008,AdaBoost,AdaBoost,False,0.4519443483309008
2,2.0,1.0,False,False,0.3711548030269832,True,0.8,True,0.6000000000000001,Voting,Voting,False,0.44743653535132216
14,0.6190476189999999,0.458333333,False,False,0.1639152329989542,False,0.0,False,0.10232074918965528,AdaBoost,AdaBoost,False,0.10232074918965528
2,2.0,1.0,True,False,0.008201495189145487,False,0.0,False,2.2204460492503185e-16,AdaBoost,Voting,False,0.0054676634594303984
44,0.7111111109999999,0.315789474,True,True,0.8790689635749417,True,0.8,True,0.6996529272055068,AdaBoost,AdaBoost,True,0.6996529272055068
36,0.765151515,0.461538462,False,False,0.4516509949239793,False,0.2,True,0.5701871720241998,AdaBoost,AdaBoost,True,0.5701871720241998
80,0.8340000000000001,0.230769231,True,True,0.988362494222506,True,1.0,True,0.8451537009448169,AdaBoost,AdaBoost,True,0.8451537009448169
17,0.836363636,0.375,False,False,0.21896276802385106,False,0.4,False,0.3582237125572439,AdaBoost,AdaBoost,False,0.3582237125572439
14,0.6190476189999999,0.458333333,False,False,0.16074628110783315,False,0.0,False,0.08129557610737839,AdaBoost,AdaBoost,False,0.08129557610737839
28,1.25,0.35,True,True,0.624246012835557,False,0.4,True,0.5482620997502501,AdaBoost,AdaBoost,True,0.5482620997502501
95,0.913647343,0.237588652,True,True,0.9955595514856374,True,1.0,True,0.9404081107485168,AdaBoost,AdaBoost,True,0.9404081107485168
4,2.0,0.75,False,False,0.05170284605852176,False,0.22666666666666666,False,0.4112231334562059,AdaBoost,AdaBoost,False,0.4112231334562059
56,0.8193277309999999,0.27777777800000003,True,True,0.9479640122276616,True,1.0,True,0.8950468903272539,AdaBoost,AdaBoost,True,0.8950468903272539
63,0.827777778,0.231578947,True,True,0.9656204578150552,True,1.0,True,0.8950795282890127,AdaBoost,AdaBoost,True,0.8950795282890127
6,0.0,0.583333333,False,False,0.06001766639573211,False,0.14666666666666667,False,0.12459269585666932,AdaBoost,AdaBoost,False,0.12459269585666932
11,2.0,0.515151515,False,False,0.10172749429316144,False,0.0,False,0.07429973983777094,AdaBoost,AdaBoost,False,0.07429973983777094
67,0.8575851390000001,0.23,True,True,0.9715552757655228,True,1.0,True,0.9517533140289048,AdaBoost,AdaBoost,True,0.9517533140289048
18,0.0,0.375,False,False,0.1196880552871815,False,0.1,False,0.2748095604655537,AdaBoost,AdaBoost,False,0.2748095604655537
