cbo,lcom3,mfa,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
35,0.965786901,0.0,True,True,0.999992875726787,True,1.0,True,0.9650498449248652,RandomForest,RandomForest,True,1.0
6,2.0,0.985714286,True,True,0.9539572934072464,True,1.0,True,0.9436043118201506,RandomForest,RandomForest,True,1.0
2,2.0,0.959183673,True,True,0.8368617016267453,True,1.0,True,0.9399359900418174,RandomForest,RandomForest,True,1.0
2,2.0,0.0,True,False,0.4207459960764273,True,0.8999960918710921,True,0.5083484563774203,RandomForest,RandomForest,True,0.7801835679224259
0,2.0,0.0,False,False,0.08981523796085499,False,0.01859831239708089,False,0.4825055953266046,RandomForest,RandomForest,False,0.01859831239708089
0,2.0,0.0,False,False,0.08981523796085499,False,0.01859831239708089,False,0.4825055953266046,RandomForest,RandomForest,False,0.01859831239708089
26,0.825396825,0.0,True,True,0.9998348446037164,True,1.0,True,0.9791242866860941,RandomForest,RandomForest,True,0.9999587111509292
0,2.0,0.0,False,False,0.08981523796085499,False,0.01859831239708089,False,0.4825055953266046,RandomForest,RandomForest,False,0.01859831239708089
2,2.0,0.959183673,True,True,0.8368617016267453,True,1.0,True,0.9399359900418174,RandomForest,RandomForest,True,1.0
4,0.1875,0.0,True,True,0.6435685160141896,True,1.0,True,0.7367424191772757,RandomForest,RandomForest,True,1.0
2,0.8,0.0,True,False,0.4976737379787364,True,0.8,True,0.8411715622867828,RandomForest,RandomForest,True,0.8
2,2.0,0.0,True,False,0.4207459960764273,True,0.8999960918710921,True,0.5083484563774203,RandomForest,RandomForest,True,0.7801835679224259
3,2.0,0.953488372,True,True,0.8664015756227421,True,1.0,True,0.9433068828990008,RandomForest,RandomForest,True,1.0
2,2.0,0.979166667,True,True,0.8467072023375309,True,1.0,True,0.9470143928732366,RandomForest,RandomForest,True,1.0
0,2.0,0.0,False,False,0.08981523796085499,False,0.01859831239708089,False,0.4825055953266046,RandomForest,RandomForest,False,0.01859831239708089
0,2.0,0.0,False,False,0.08981523796085499,False,0.01859831239708089,False,0.4825055953266046,RandomForest,RandomForest,False,0.01859831239708089
4,0.945054945,0.858695652,True,True,0.8996079635075426,True,1.0,True,0.9866147876606336,RandomForest,RandomForest,True,1.0
0,2.0,1.0,False,False,0.4647893374035183,False,0.0,False,0.17890669193792927,RandomForest,RandomForest,False,0.0
5,0.75,0.921568627,True,True,0.9439765291285106,True,1.0,True,0.9893310327876904,RandomForest,RandomForest,True,1.0
0,2.0,0.0,False,False,0.08981523796085499,False,0.01859831239708089,False,0.4825055953266046,RandomForest,RandomForest,False,0.01859831239708089
2,2.0,0.0,True,False,0.4207459960764273,True,0.8999960918710921,True,0.5083484563774203,RandomForest,RandomForest,True,0.7801835679224259
13,0.817567568,0.556962025,True,True,0.9943147727793988,True,0.8,True,0.8282282242671366,RandomForest,RandomForest,True,0.8
2,2.0,0.0,True,False,0.4207459960764273,True,0.8999960918710921,True,0.5083484563774203,RandomForest,RandomForest,True,0.7801835679224259
