dit,rfc,lcom3,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
1,10,2.0,False,False,0.03357936721126517,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.03357936721126517
1,1,2.0,False,False,0.023422963668343764,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.023422963668343764
5,67,0.7613636359999999,False,True,0.6014808145961834,True,0.6,False,0.28989794855663564,AdaBoost,AdaBoost,False,0.378921624567935
1,2,2.0,False,False,0.026454279896673188,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.026454279896673188
1,22,0.833333333,False,False,0.2886586421446071,False,0.2,False,7.450580541412699e-09,Voting,Voting,False,0.2886586421446071
1,2,2.0,False,False,0.020302602939887605,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.020302602939887605
5,60,0.841666667,False,True,0.8990817099772652,True,0.6,False,0.5,AdaBoost,AdaBoost,False,0.557011672853895
1,50,1.05,True,True,0.5827941277144658,False,0.5,True,0.7,Voting,Voting,True,0.5827941277144658
6,25,0.0,True,False,0.1601772732346097,False,0.4,False,0.44948974278317816,Voting,Voting,False,0.1601772732346097
6,48,0.7857142859999999,True,True,0.5120517519259215,True,0.6,True,0.7533939444035328,Voting,Voting,True,0.5120517519259215
1,16,2.0,False,False,0.03187271987248524,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.03187271987248524
1,2,2.0,False,False,0.021949289528352026,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.021949289528352026
3,2,2.0,False,False,0.02664249259052591,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.02664249259052591
5,60,0.571428571,False,True,0.9325606056321658,True,0.8,True,0.8999999999999999,Voting,Voting,True,0.9325606056321658
2,7,0.916666667,False,False,0.1599165310143494,False,0.0,False,0.2,Voting,Voting,False,0.1599165310143494
1,3,2.0,False,False,0.021115944621619014,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.021115944621619014
1,53,0.844827586,True,True,0.7689498610860871,True,0.7,True,0.8,Voting,Voting,True,0.7689498610860871
1,30,0.0,False,False,0.3963009833963987,False,0.3,False,0.29999999999999993,Voting,Voting,False,0.3963009833963987
3,2,2.0,False,False,0.01769249067715387,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.01769249067715387
1,5,2.0,False,False,0.02529131366449128,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.02529131366449128
1,46,0.5,False,True,0.8776442723395831,True,0.9,True,0.8999999999999999,Voting,Voting,True,0.8776442723395831
3,2,2.0,False,False,0.029177091161202626,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.029177091161202626
1,57,0.8222222220000001,False,True,0.8712623502726108,True,0.7,True,0.6000000000000001,Voting,Voting,True,0.8712623502726108
1,23,1.333333333,False,False,0.10141974497337572,False,0.1,False,0.10000000000000002,Voting,Voting,False,0.10141974497337572
5,109,0.763736264,False,True,0.594513304204982,False,0.2,True,0.7,RandomForest,RandomForest,False,0.2
1,32,2.0,False,False,0.048840882255479036,False,0.2,False,0.10000000000000002,Voting,Voting,False,0.048840882255479036
1,25,0.675,False,True,0.7320278578392408,False,0.3,True,0.6000000000000001,RandomForest,RandomForest,False,0.3
3,2,2.0,False,False,0.021162887245121925,False,0.0,False,1.7628389592256267e-11,Voting,Voting,False,0.021162887245121925
1,10,0.666666667,False,False,0.2578869299179925,False,0.2,False,2.2204460492503185e-16,Voting,Voting,False,0.2578869299179925
5,67,0.775119617,False,True,0.5854876150237235,True,0.7,False,0.5,AdaBoost,AdaBoost,False,0.5
1,2,2.0,False,False,0.024964177935054392,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.024964177935054392
1,27,0.75,True,False,0.3387179676602292,False,0.2,False,0.10000000000000002,Voting,Voting,False,0.3387179676602292
2,8,0.931818182,False,False,0.14780706525973775,False,0.1,False,0.10000000000000002,Voting,Voting,False,0.14780706525973775
1,22,2.0,False,False,0.03146742712917173,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.03146742712917173
1,9,2.0,False,False,0.028412693990041607,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.028412693990041607
1,12,0.8,False,False,0.26917379765999794,False,0.2,False,0.10000000000000002,Voting,Voting,False,0.26917379765999794
1,53,0.64,True,True,0.8383269587537995,False,0.5,True,0.6000000000000001,Voting,Voting,True,0.8383269587537995
5,80,0.847619048,True,False,0.4595181264021315,False,0.2,False,0.10000000000000002,Voting,Voting,False,0.4595181264021315
5,61,0.675,True,True,0.5762781567765731,False,0.2,False,0.10000000000000002,Voting,Voting,True,0.5762781567765731
2,26,0.7,True,True,0.6943649210392716,False,0.3,False,0.2,Voting,Voting,True,0.6943649210392716
1,3,2.0,False,False,0.024823491590782232,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.024823491590782232
2,30,0.7333333329999999,False,True,0.7530651271877099,True,1.0,True,0.9999999999999998,Voting,Voting,True,0.7530651271877099
1,7,2.0,False,False,0.030055725359445108,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.030055725359445108
1,74,0.816666667,False,True,0.5737931096407073,False,0.4,False,0.4000000000000001,Voting,Voting,True,0.5737931096407073
1,40,0.962566845,False,False,0.4016203153317493,True,0.7,True,0.60435607626104,Voting,Voting,False,0.4016203153317493
