dit,amc,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
1,2.12962963,False,False,0.04659156726152705,False,0.0,False,0.016516571575354463,AdaBoost,AdaBoost,False,0.016516571575354463
4,105.5,True,True,0.9893356547772384,True,1.0,True,0.9877870187607682,AdaBoost,AdaBoost,True,0.9877870187607682
4,41.0,False,True,0.7941270743081766,True,0.7,True,0.6237005419420006,AdaBoost,AdaBoost,True,0.6237005419420006
2,6.5,False,False,0.05627302474147439,False,0.0,False,0.010756894724860223,AdaBoost,AdaBoost,False,0.010756894724860223
4,129.0,True,True,0.9942431789652484,True,1.0,True,0.8869780200675382,AdaBoost,AdaBoost,True,0.8869780200675382
1,45.2,False,False,0.17697608691039815,False,0.2,False,0.12812225710105435,AdaBoost,AdaBoost,False,0.12812225710105435
2,84.42857143,True,False,0.2477746378349499,False,0.5,False,0.21157509830269808,AdaBoost,AdaBoost,False,0.21157509830269808
4,21.0,False,False,0.4770338486181829,False,0.32666666666666666,False,0.4948331132349405,AdaBoost,AdaBoost,False,0.4948331132349405
2,12.71428571,False,False,0.07753953319226592,False,0.0,False,0.06998983514446208,AdaBoost,AdaBoost,False,0.06998983514446208
4,66.0,True,True,0.9122102043320762,True,0.7,False,0.4743600530982807,AdaBoost,AdaBoost,False,0.4743600530982807
3,43.33333333,False,False,0.3069479259045405,False,0.0,False,0.015606344691318469,AdaBoost,AdaBoost,False,0.015606344691318469
2,17.375,False,False,0.08611664239823731,False,0.0,False,0.015776938522512846,AdaBoost,AdaBoost,False,0.015776938522512846
2,12.71428571,False,False,0.07250285644353513,False,0.0,False,0.01971357965083425,AdaBoost,AdaBoost,False,0.01971357965083425
2,49.16666667,False,False,0.2068460422668109,False,0.0,False,0.2287425041045373,AdaBoost,AdaBoost,False,0.2287425041045373
3,26.5,False,True,0.5591078527407284,False,0.4,False,0.3141715372088184,AdaBoost,AdaBoost,False,0.3141715372088184
4,23.0,True,False,0.15453321637758752,False,0.0,False,0.10000000000000002,AdaBoost,AdaBoost,False,0.10000000000000002
1,2.086956522,False,False,0.04536619668044167,False,0.0,False,0.028034003544487547,AdaBoost,AdaBoost,False,0.028034003544487547
1,22.66666667,False,False,0.08901523571118163,False,0.1,False,0.02592456833193041,AdaBoost,AdaBoost,False,0.02592456833193041
4,30.5,False,True,0.7514949427785371,True,0.8,False,0.4419042613162102,AdaBoost,AdaBoost,False,0.4419042613162102
1,2.055555556,False,False,0.04527156281125785,False,0.0,False,0.020651559515426045,AdaBoost,AdaBoost,False,0.020651559515426045
3,3.0,False,False,0.08174050638545206,False,0.0,False,0.01344818687638915,AdaBoost,AdaBoost,False,0.01344818687638915
4,23.0,False,True,0.6543374721296116,True,1.0,True,0.8,AdaBoost,AdaBoost,True,0.8
1,29.0,False,False,0.1226024139186116,False,0.0,False,0.007258661869235011,AdaBoost,AdaBoost,False,0.007258661869235011
2,21.4,False,False,0.10806604691023708,False,0.0,False,0.01159131430946671,AdaBoost,AdaBoost,False,0.01159131430946671
4,25.0,True,False,0.3715735111826797,True,0.6083333333333333,True,0.7479197479697067,AdaBoost,AdaBoost,True,0.7479197479697067
1,10.5,False,False,0.06010624226745665,False,0.0,False,0.027906654402003826,AdaBoost,AdaBoost,False,0.027906654402003826
3,55.28571429,False,True,0.5043245786876138,False,0.3,False,0.282461383623108,AdaBoost,AdaBoost,False,0.282461383623108
