cbo,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble
9,False,False,0.18611078458666794,False,0.16818181818181815,False,0.4874291027670355,Voting
9,False,False,0.18611078458666794,False,0.095,False,0.4875376175045526,Voting
5,False,False,0.06627350644764947,False,0.0,False,7.740689377362809e-08,Voting
12,False,False,0.2459871719352968,False,0.1,False,0.19145069053093167,Voting
1,False,False,0.04170255035480022,False,0.0,False,2.586866966285349e-09,Voting
6,False,False,0.07532539988926068,False,0.0,False,2.1286384274065363e-07,Voting
1,False,False,0.04170255035480022,False,0.0,False,3.3266051901127743e-09,Voting
3,False,False,0.052176895594898916,False,0.0,False,5.067705724510472e-08,Voting
9,False,False,0.18611078458666794,False,0.25011904761904763,False,0.4896948314776946,Voting
9,True,False,0.08538508279282529,False,0.0,False,2.2204460492503185e-16,Voting
2,False,False,0.04656319875709189,False,0.0,False,4.557379671916762e-09,Voting
2,False,False,0.04656319875709189,False,0.0,False,2.6906987969862293e-08,Voting
9,False,False,0.18611078458666794,False,0.1865079365079365,False,0.4891584903301554,Voting
12,False,False,0.2459871719352968,False,0.0,False,0.1869691927947427,Voting
4,False,False,0.05867457794742492,False,0.0,False,6.741083417388754e-08,Voting
4,False,False,0.05867457794742492,False,0.0,False,4.6388816263365764e-08,Voting
11,False,False,0.18621742984863834,False,0.014285714285714284,False,0.18087495780404114,Voting
15,True,True,0.6685068232020771,True,0.8,True,0.712323690475816,Voting
25,True,True,0.7574587138786338,True,0.8,True,0.8034231640314399,Voting
1,False,False,0.04170255035480022,False,0.0,False,1.0060558572836316e-09,Voting
7,False,False,0.08641250967790322,False,0.06111111111111112,False,0.0004957091010623629,Voting
9,False,False,0.18611078458666794,False,0.10785714285714287,False,0.4871945040338032,Voting
14,True,True,0.6064075163316826,True,0.7,True,0.7111660034152134,Voting
3,False,False,0.05217689559489889,False,0.0,False,7.64843968281543e-09,Voting
2,False,False,0.04656319875709189,False,0.0,False,8.06574623606652e-09,Voting
3,False,False,0.05217689559489889,False,0.0,False,3.992839061016587e-08,Voting
1,False,False,0.04170255035480023,False,0.0,False,1.8813247495233547e-09,Voting
