wmc,cbo,rfc,ce,npm,loc,moa,amc,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble
28,32,82,7,24,926,0,31.64285714,True,False,0.2199788054811076,False,0.4,False,0.4118937069482039,AdaBoost
6,3,7,1,4,36,0,4.666666667,False,False,0.02106631676030913,False,0.1,True,0.5006681719154763,AdaBoost
4,5,6,4,2,21,1,4.0,False,False,0.0264334849673086,False,0.0,False,0.08417168625316633,AdaBoost
4,9,4,0,4,4,0,0.0,False,False,0.3503452146394008,False,0.3,True,0.6019978773528261,AdaBoost
1,8,1,2,1,1,0,0.0,False,False,0.017967176145241025,False,0.0,False,0.1277718001481072,AdaBoost
23,150,67,5,20,653,1,26.86956522,True,False,0.33626448689331384,False,0.3,False,0.04932573420726534,AdaBoost
5,8,26,7,4,127,2,23.6,False,False,0.37274847968310426,False,0.1,False,0.34359036310953706,AdaBoost
25,18,73,0,18,666,0,25.32,True,False,0.06520302242330465,False,0.1,False,0.2764839803444409,AdaBoost
7,2,13,1,7,86,0,10.42857143,False,False,0.019781342758495645,False,0.0,False,0.11269402233727148,AdaBoost
21,7,22,2,21,141,2,5.2380952380000005,False,False,0.019844833925022096,False,0.1,False,0.2313940437237993,AdaBoost
2,2,4,1,2,11,0,4.5,False,False,0.0204336068266402,False,0.0,False,0.11358745173730925,AdaBoost
8,10,21,5,7,130,0,15.25,False,False,0.01994017597213044,False,0.0,False,0.04242827682795668,AdaBoost
32,16,81,0,27,504,0,14.34375,False,False,0.06998814741353454,False,0.1,False,0.1893571910682004,AdaBoost
13,4,44,2,9,208,0,14.84615385,False,False,0.04585075427347416,False,0.0,False,0.0369852752182432,AdaBoost
19,8,42,7,3,329,1,16.05263158,True,False,0.08413757112533786,False,0.0,False,0.2146250672527864,AdaBoost
2,6,21,3,1,144,0,71.0,False,False,0.016654357339549914,False,0.0,False,0.03724712029195207,AdaBoost
1,4,1,2,1,1,0,0.0,False,False,0.019489090963501432,False,0.0,False,0.13418675531723312,AdaBoost
25,10,58,4,23,257,1,9.08,False,False,0.03932994583368839,False,0.0,False,0.0691932309495788,AdaBoost
8,12,29,5,8,126,1,14.625,False,False,0.028501093633017425,False,0.1,False,0.08826343460503602,AdaBoost
5,26,11,2,5,41,1,6.8,False,False,0.01635852393033102,False,0.2,False,0.23323040802802605,AdaBoost
3,7,8,0,3,34,0,10.33333333,False,False,0.018942479362498158,False,0.0,False,0.0571624840199092,AdaBoost
4,6,10,5,1,27,1,5.5,False,False,0.03061557904529108,False,0.0,False,0.03467278394881923,AdaBoost
5,6,6,1,5,32,1,5.0,False,False,0.021751571900966257,False,0.2,False,0.2712904252627203,AdaBoost
2,4,3,1,1,8,1,2.5,False,False,0.026663454336550558,False,0.0,False,0.08062566349577813,AdaBoost
1,4,1,1,1,1,0,0.0,False,False,0.01977540769478805,False,0.0,False,0.14030062777108376,AdaBoost
10,27,19,2,10,138,1,12.3,False,False,0.015266367188320728,False,0.0,False,0.2438830439757193,AdaBoost
12,3,25,0,12,67,0,4.583333333,False,False,0.023120897457472724,False,0.2,False,0.2212431612429281,AdaBoost
5,14,21,3,5,75,0,13.8,False,False,0.020399188218651703,False,0.0,False,0.12992166164889127,AdaBoost
54,17,137,0,16,1589,1,27.7962963,False,True,0.6279824396138205,True,0.6,False,0.4929170096662133,AdaBoost
5,4,9,3,5,61,0,10.2,False,False,0.018062112050576205,False,0.0,False,0.13057141848111628,AdaBoost
37,26,120,26,24,1123,0,29.10810811,True,False,0.4420579231788848,False,0.4,False,0.2424414521796945,AdaBoost
10,9,15,6,8,67,1,5.3,False,False,0.02280065815772403,False,0.0,False,0.022757619245636646,AdaBoost
8,6,32,6,4,221,0,26.375,False,False,0.03384427413224104,False,0.2,False,0.4206680485271773,AdaBoost
2,4,5,2,1,19,1,8.0,False,False,0.02636228559680568,False,0.0,False,0.04245721840045453,AdaBoost
20,8,29,3,20,188,1,8.0,False,False,0.019052347000419374,False,0.4,False,0.17904770544384482,AdaBoost
3,3,4,1,2,16,0,4.0,False,False,0.02076151457801564,False,0.0,False,0.1395788238709245,AdaBoost
3,9,23,8,2,125,2,39.66666667,False,False,0.024547001247487068,False,0.0,False,0.0802167119825797,AdaBoost
8,32,104,29,3,955,2,118.0,True,False,0.43547759664418334,False,0.1,False,0.3308659095437468,AdaBoost
8,16,52,0,5,336,1,40.625,False,False,0.3870409168855473,True,0.6,True,0.638949009507087,Voting
7,5,20,4,5,110,0,14.0,False,False,0.0248676826775588,False,0.0,False,0.1583415988185415,AdaBoost
3,16,38,0,1,159,0,52.0,False,False,0.03425790469549077,False,0.1,False,0.13234617471126914,AdaBoost
5,6,24,0,5,88,0,16.2,False,False,0.026452471820548933,False,0.0,False,0.1762104927582778,AdaBoost
9,20,71,20,5,476,0,51.88888889,False,False,0.4124342937445857,False,0.1,False,0.4905193076068593,AdaBoost
16,27,123,23,2,1851,0,114.6875,False,True,0.5753151874610456,True,0.7,False,0.4275265975517146,AdaBoost
4,5,22,2,3,100,0,24.0,False,False,0.0252918246099616,False,0.0,False,0.11497874877404445,AdaBoost
23,10,74,9,14,608,0,25.08695652,False,False,0.4098205420103905,False,0.5,True,0.5985370672073764,AdaBoost
7,7,34,6,2,288,1,39.85714286,False,False,0.03657139266375126,False,0.3,False,0.3220493729760122,AdaBoost
10,10,38,0,9,207,0,19.3,False,False,0.03318914332131631,False,0.0,False,0.03827810857737407,AdaBoost
3,4,19,3,3,57,0,17.66666667,False,False,0.02362528761257146,False,0.0,False,0.01918965468480793,AdaBoost
1,5,1,2,1,1,0,0.0,False,False,0.022572762871217348,False,0.0,False,0.09916702766912247,AdaBoost
11,4,25,1,7,215,0,18.0,False,False,0.3613742184492417,False,0.0,False,0.1038215481183934,AdaBoost
4,2,6,1,3,23,1,4.5,False,False,0.02212693542772885,False,0.0,False,0.1013832304274894,AdaBoost
11,2,15,0,11,95,0,7.272727272999999,False,False,0.0175123330354921,False,0.0,False,0.15735820637063672,AdaBoost
18,23,83,5,15,638,0,34.33333333,False,False,0.09589757267529714,False,0.1,False,0.3574555086574305,AdaBoost
11,7,27,0,10,85,0,6.6363636360000005,False,False,0.02478693400984277,False,0.1,False,0.2312560298743028,AdaBoost
4,4,13,0,3,41,1,9.0,False,False,0.02532710919117641,False,0.0,False,0.03733074354664565,AdaBoost
12,7,29,5,11,171,1,12.75,False,False,0.0247265400526876,False,0.0,False,0.07043210868901019,AdaBoost
5,6,15,3,5,48,0,8.6,False,False,0.022551250645139725,False,0.0,False,0.19975528038442056,AdaBoost
35,16,103,0,28,824,1,22.11428571,True,True,0.6840039301182496,False,0.0,True,0.5326836051379286,AdaBoost
11,6,19,2,11,67,1,4.909090909,False,False,0.020094761228518408,False,0.0,False,0.06353385132271687,AdaBoost
74,40,190,30,72,1443,8,18.17567568,True,True,0.7837816431828593,True,0.8,True,0.5571060159496846,AdaBoost
9,19,39,13,5,178,1,18.55555556,True,False,0.04142028560094542,False,0.0,False,0.2059768864515656,AdaBoost
13,28,37,6,6,172,1,12.0,False,False,0.3846292184734543,False,0.2,False,0.3657073306162563,AdaBoost
5,3,13,2,5,48,0,8.4,False,False,0.02117718028864983,False,0.0,False,0.225320173371488,AdaBoost
4,11,17,3,2,77,1,18.0,False,False,0.0287152292676808,False,0.0,False,0.01863578671952603,AdaBoost
9,83,9,3,9,9,0,0.0,False,True,0.7092162574099742,False,0.3,False,0.3755523684223653,AdaBoost
7,3,22,0,7,68,0,8.714285713999999,False,False,0.023604598816313608,False,0.0,False,0.13523908389133688,AdaBoost
15,9,40,7,12,286,1,17.86666667,False,False,0.03200348801321632,False,0.3,False,0.2895997044350839,AdaBoost
27,33,78,13,24,394,5,13.37037037,False,True,0.7159121717561431,False,0.3,False,0.3528787146803589,AdaBoost
31,97,31,16,31,33,0,0.0,False,False,0.3585796226737991,False,0.1,False,0.012773177530310152,AdaBoost
9,17,28,8,7,127,1,12.88888889,False,False,0.03136848541209581,False,0.1,False,0.2314520750629019,AdaBoost
37,19,107,0,30,659,0,16.40540541,False,False,0.3103019404395615,False,0.2,False,0.3710305779381674,AdaBoost
2,3,16,1,1,98,0,48.0,False,False,0.016122675798271147,False,0.1,False,0.0020308855788651803,AdaBoost
15,13,64,0,14,411,0,26.0,True,False,0.3801912314984669,False,0.0,False,0.3699868441771803,AdaBoost
2,30,65,29,2,412,3,203.5,False,False,0.3423625710662459,False,0.5,False,0.3809834887697636,AdaBoost
8,6,22,1,6,145,0,16.375,False,False,0.024050751592076213,False,0.1,False,0.0669122476478014,AdaBoost
5,6,14,4,4,60,2,10.2,False,False,0.025938466809490763,False,0.0,False,0.2243226127843416,AdaBoost
7,10,63,8,5,1034,0,146.71428569999995,False,False,0.3537710019267346,False,0.3,True,0.5342697103790545,AdaBoost
14,2,19,1,7,97,0,5.5,False,False,0.02315692585254529,False,0.1,False,0.12888895001396464,AdaBoost
20,4,30,2,18,183,0,7.95,False,False,0.017311942709200136,False,0.1,False,0.10110224904524012,AdaBoost
5,13,30,10,3,149,1,28.6,False,False,0.030685298401427818,False,0.0,False,0.08733063271146313,AdaBoost
13,14,35,4,13,204,2,14.53846154,False,False,0.030174304828842938,False,0.0,False,0.11668924847045027,AdaBoost
12,7,63,0,5,939,0,76.33333333,False,False,0.08852657358568156,False,0.1,True,0.5136898546619431,AdaBoost
2,2,18,1,2,99,0,47.5,False,False,0.015801881442248127,False,0.1,False,0.0030842745987639184,AdaBoost
5,7,26,6,3,158,0,30.2,False,False,0.02472038981108189,False,0.0,False,0.02182956573469302,AdaBoost
6,27,6,2,6,6,0,0.0,False,False,0.02380434463653209,False,0.0,False,0.2055201925735996,AdaBoost
4,4,5,1,2,17,1,3.0,False,False,0.0233402644595936,False,0.0,False,0.03414559659648092,AdaBoost
11,7,12,2,11,74,1,5.272727273,False,False,0.017715741852287525,False,0.1,False,0.12057479521208216,AdaBoost
12,19,12,6,12,12,0,0.0,False,False,0.35071947941336146,False,0.2,False,0.446176548833764,AdaBoost
1,7,1,1,1,1,0,0.0,False,False,0.021911108097839204,False,0.0,False,0.0770045850582554,AdaBoost
6,21,6,5,6,6,0,0.0,False,False,0.02157446345167667,False,0.0,False,0.08125101104619033,AdaBoost
2,15,34,14,2,326,2,161.0,False,False,0.32774983850732203,False,0.1,False,0.031459366879099344,AdaBoost
5,10,44,7,5,305,2,59.4,True,False,0.03095496452299297,False,0.2,False,0.4341602147705713,AdaBoost
4,5,8,0,4,20,0,4.0,False,False,0.02054057160121591,False,0.1,False,0.0937146226677876,AdaBoost
5,6,17,2,4,112,0,21.4,False,False,0.021378572607940672,False,0.0,False,0.04157530697161746,AdaBoost
8,3,35,1,4,303,0,36.5,True,False,0.03027157396226823,False,0.1,False,0.239033871702116,AdaBoost
8,2,13,0,6,69,0,7.375,False,False,0.0200804305619404,False,0.0,False,0.1519305681846349,AdaBoost
5,2,22,1,5,97,0,18.2,False,False,0.022110608608489585,False,0.2,False,0.3365944987677395,AdaBoost
5,3,6,3,5,24,2,3.4,False,False,0.02144671190646056,False,0.0,False,0.2723382164914569,AdaBoost
3,2,6,0,1,21,0,5.666666667,False,False,0.021935926434212258,False,0.0,False,0.028217011187561283,AdaBoost
