rfc,lcom3,cam,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble
27,0.7,1.0,False,False,0.12341782657294235,False,0.2,False,0.24641976204712834,Voting
11,0.666666667,0.533333333,False,False,0.11520826873900525,False,0.0,False,0.11125907903788412,Voting
19,0.0,0.466666667,False,False,0.11693427227813392,False,0.0,False,0.05471076902132743,Voting
17,2.0,0.5,False,False,0.12065569163370395,False,0.0,False,0.2594955248287118,Voting
49,0.863095238,0.355555556,True,True,0.8941861702422792,True,0.9,True,0.7860978500296566,Voting
40,0.791666667,0.182222222,False,True,0.8936683915780615,True,0.8,False,0.4813988434996319,AdaBoost
72,0.871352785,0.344444444,True,True,0.9672007089121492,True,1.0,True,0.7376560013765496,Voting
32,0.880681818,0.229813665,True,False,0.4048646766169573,True,0.6,True,0.6328024121113611,Voting
93,0.878125,0.218181818,True,True,0.990722144947568,True,1.0,True,0.9234428327575732,Voting
44,0.761904762,0.5,True,False,0.4832708613543541,False,0.1,False,0.30151797454996565,Voting
12,0.8,0.545454545,False,False,0.1252503220948084,False,0.0,False,0.060487384954672936,Voting
42,0.875362319,1.0,False,False,0.3420166191397911,True,0.625,False,0.4894998863254422,Voting
2,2.0,1.0,False,False,0.3723756896722859,True,0.7,True,0.8,Voting
14,0.6190476189999999,0.458333333,False,False,0.14313250918892378,False,0.1,False,0.08185216212076908,Voting
2,2.0,1.0,True,False,0.009103896524547302,False,0.0,False,2.2204460492503185e-16,Voting
44,0.7111111109999999,0.315789474,True,True,0.8572741020769715,True,0.7,True,0.7559403658818419,Voting
36,0.765151515,0.461538462,False,False,0.4335785839581108,True,0.7,False,0.46729708193133296,Voting
80,0.8340000000000001,0.230769231,True,True,0.9806549106928656,True,0.8,True,0.8462137168954775,Voting
17,0.836363636,0.375,False,False,0.2148732661956572,True,0.6,False,0.4163537794557087,Voting
14,0.6190476189999999,0.458333333,False,False,0.14313250918891382,False,0.0,False,0.11693495021682675,Voting
28,1.25,0.35,True,True,0.6054351596626965,True,0.6,True,0.5499037292002183,Voting
95,0.913647343,0.237588652,True,True,0.9915711225417264,True,1.0,True,0.8885496216958216,Voting
4,2.0,0.75,False,False,0.05371545754019336,False,0.4,False,0.3733223752474094,Voting
56,0.8193277309999999,0.27777777800000003,True,True,0.9309376725735196,True,1.0,True,0.9160809602516212,Voting
63,0.827777778,0.231578947,True,True,0.9528429926166924,True,1.0,True,0.9175292417985592,Voting
6,0.0,0.583333333,False,False,0.06046322475207019,False,0.1,False,0.12409472785798803,Voting
11,2.0,0.515151515,False,False,0.0921928319289824,False,0.0,False,0.14505879159708365,Voting
67,0.8575851390000001,0.23,True,True,0.9615527581184772,True,1.0,True,0.9181769939643633,Voting
18,0.0,0.375,False,False,0.12053663338088362,False,0.0,False,0.16174774026719366,Voting
