rfc,npm,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble
49,0,True,True,0.9983759259001298,True,1.0,True,0.9115959750286098,Voting
1,1,True,True,0.8234153150859379,True,1.0,True,0.9977232835120264,Voting
12,7,True,True,0.9999998693517794,True,1.0,True,0.979430330014428,Voting
16,3,True,True,0.999833524816292,True,1.0,True,0.979430330014428,Voting
6,3,True,True,0.9995740762400116,True,1.0,True,0.9596487901394396,Voting
46,3,True,True,0.9999910289851628,True,1.0,True,0.9707029109493056,Voting
46,5,True,True,0.9999997667386464,True,1.0,True,0.9707029109493056,Voting
76,31,True,True,1.0,True,1.0,True,0.9707029109493056,Voting
125,10,True,True,0.9999999999999796,True,1.0,True,0.9707029109493056,Voting
61,26,True,True,1.0,True,1.0,True,0.9707029109493056,Voting
7,3,True,True,0.9996034718208912,True,1.0,True,0.9393263985452818,Voting
5,3,True,True,0.9995440593789376,True,1.0,True,0.943534864507148,Voting
60,5,True,True,0.9999999341054928,True,1.0,True,0.9707029109493056,Voting
26,14,True,True,0.9999999999998956,True,1.0,True,0.8673254667902233,Voting
29,11,True,True,0.9999999999809696,True,1.0,True,0.9707029109493056,Voting
28,7,True,True,0.9999999691906776,True,1.0,True,0.9707029109493056,Voting
2,1,True,True,0.8044879957046431,True,0.9859083352687356,True,0.5229891840205926,Voting
7,3,True,True,0.9996034718208912,True,1.0,True,0.9393263985452818,Voting
22,3,True,True,0.9999159544723416,True,1.0,True,0.979430330014428,Voting
48,7,True,True,0.9999999949370304,True,1.0,True,0.9707029109493056,Voting
15,3,True,True,0.9998134318007548,True,1.0,True,0.979430330014428,Voting
3,2,True,True,0.9797022249225398,True,1.0,True,0.9092065285587032,Voting
79,7,True,True,0.99999999969184,True,1.0,True,0.9707029109493056,Voting
24,2,True,True,0.9990000494570478,True,1.0,True,0.9322710376436579,Voting
59,9,True,True,0.9999999999512422,True,1.0,True,0.9707029109493056,Voting
72,19,True,True,1.0,True,1.0,True,0.9707029109493056,Voting
79,13,True,True,0.9999999999999948,True,1.0,True,0.9707029109493056,Voting
22,5,True,True,0.999997963086068,True,1.0,True,0.979430330014428,Voting
4,2,True,True,0.9789298322379438,True,1.0,True,0.9297016770847536,Voting
5,0,False,False,0.3753189268561576,False,0.1,False,0.15643027106284274,Voting
428,130,True,True,1.0,True,1.0,True,0.9707029109493056,Voting
19,13,True,True,0.9999999999987792,True,1.0,True,0.979430330014428,Voting
49,0,True,True,0.9983759259001298,True,1.0,True,0.9115959750286098,Voting
47,22,True,True,1.0,True,1.0,True,0.9707029109493056,Voting
21,7,True,True,0.9999999420332422,True,1.0,True,0.979430330014428,Voting
20,9,True,True,0.999999998350384,True,1.0,True,0.979430330014428,Voting
66,5,True,True,0.9999999616675838,True,1.0,True,0.9707029109493056,Voting
44,17,True,True,1.0,True,1.0,True,0.9707029109493056,Voting
4,2,True,True,0.9789298322379438,True,1.0,True,0.9297016770847536,Voting
7,2,True,True,0.9787541972660976,True,1.0,True,0.8980304925572276,Voting
21,1,True,True,0.9656208542824296,True,1.0,True,0.9987969254476856,Voting
38,5,True,True,0.9999995196550716,True,1.0,True,0.9707029109493056,Voting
51,27,True,True,1.0,True,1.0,True,0.9707029109493056,Voting
31,0,True,True,0.9912111565253312,True,0.7,True,0.8100877294814746,Voting
83,23,True,True,1.0,True,1.0,True,0.9707029109493056,Voting
6,4,True,True,0.999946403643832,True,1.0,True,0.9596487901394396,Voting
36,14,True,True,0.9999999999999576,True,1.0,True,0.9707029109493056,Voting
2,1,True,True,0.8044879957046431,True,0.9859083352687356,True,0.5229891840205926,Voting
21,11,True,True,0.9999999999608116,True,1.0,True,0.979430330014428,Voting
15,3,True,True,0.9998134318007548,True,1.0,True,0.979430330014428,Voting
3,2,True,True,0.9797022249225398,True,1.0,True,0.9092065285587032,Voting
51,23,True,True,1.0,True,1.0,True,0.9707029109493056,Voting
1,1,True,True,0.8234153150859379,True,1.0,True,0.9977232835120264,Voting
4,4,True,True,0.9999358071508108,True,1.0,True,0.9496427800096232,Voting
8,4,True,True,0.9999552528559336,True,1.0,True,0.9331776031705272,Voting
1,1,True,True,0.8234153150859379,True,1.0,True,0.9977232835120264,Voting
13,1,True,True,0.8547525457146016,True,1.0,True,0.9987969254476856,Voting
3,2,True,True,0.9797022249225398,True,1.0,True,0.9092065285587032,Voting
26,8,True,True,0.9999999940487958,True,1.0,True,0.8673254667902233,Voting
3,3,True,True,0.999480650443874,True,1.0,True,0.9092065285587032,Voting
4,2,True,True,0.9789298322379438,True,1.0,True,0.9297016770847536,Voting
3,2,True,True,0.9797022249225398,True,1.0,True,0.9092065285587032,Voting
4,2,True,True,0.9789298322379438,True,1.0,True,0.9297016770847536,Voting
52,13,True,True,0.999999999999938,True,1.0,True,0.9707029109493056,Voting
31,12,True,True,0.9999999999974384,True,1.0,True,0.9707029109493056,Voting
54,20,True,True,1.0,True,1.0,True,0.9707029109493056,Voting
49,0,True,True,0.9983759259001298,True,1.0,True,0.9115959750286098,Voting
19,7,True,True,0.9999999305604846,True,1.0,True,0.979430330014428,Voting
15,10,True,True,0.9999999995822204,True,1.0,True,0.979430330014428,Voting
2,1,True,True,0.8044879957046431,True,0.9859083352687356,True,0.5229891840205926,Voting
17,2,True,True,0.9937525030520096,True,1.0,True,0.9351739961209103,Voting
2,1,True,True,0.8044879957046431,True,0.9859083352687356,True,0.5229891840205926,Voting
15,5,True,True,0.9999961676313256,True,1.0,True,0.979430330014428,Voting
4,3,True,True,0.9995130811785564,True,1.0,True,0.9490467256927324,Voting
3,2,True,True,0.9797022249225398,True,1.0,True,0.9092065285587032,Voting
20,0,True,True,0.9144999874363998,True,1.0,True,0.8884664096754668,Voting
11,8,True,True,0.9999999769424878,True,1.0,True,0.979430330014428,Voting
12,12,True,True,0.9999999999857576,True,1.0,True,0.979430330014428,Voting
21,12,True,True,0.9999999999936808,True,1.0,True,0.979430330014428,Voting
28,4,True,True,0.9999926515021044,True,1.0,True,0.9707029109493056,Voting
6,3,True,True,0.9995740762400116,True,1.0,True,0.9596487901394396,Voting
6,2,True,True,0.9784280713433232,True,1.0,True,0.9589079527287634,Voting
20,0,True,True,0.9144999874363998,True,1.0,True,0.8884664096754668,Voting
4,1,True,True,0.8075526940917429,True,1.0,True,0.9786652029634584,Voting
7,2,True,True,0.9787541972660976,True,1.0,True,0.8980304925572276,Voting
6,2,True,True,0.9784280713433232,True,1.0,True,0.9589079527287634,Voting
42,10,True,True,0.9999999999635101,True,1.0,True,0.9707029109493056,Voting
3,2,True,True,0.9797022249225398,True,1.0,True,0.9092065285587032,Voting
17,7,True,True,0.9999999168170444,True,1.0,True,0.979430330014428,Voting
18,7,True,True,0.9999999239987885,True,1.0,True,0.979430330014428,Voting
49,0,True,True,0.9983759259001298,True,1.0,True,0.9115959750286098,Voting
6,2,True,True,0.9820975663603652,True,1.0,True,0.9440429629852838,Voting
29,6,True,True,0.999999925374464,True,1.0,True,0.9014776781285772,Voting
15,11,True,True,0.9999999999850592,True,1.0,True,0.9125136577881968,Voting
25,8,True,True,0.9999999978789208,True,1.0,True,0.8900024645643877,Voting
3,2,True,True,0.9831667384408884,True,1.0,True,0.9110246474234548,Voting
