dit,rfc,lcom3,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
1,10,2.0,False,False,0.016883558193547674,False,0.0,False,2.2204460492503185e-16,RandomForest,RandomForest,False,0.0
1,1,2.0,False,False,0.015597676649843118,False,0.0,False,2.2204460492503185e-16,RandomForest,RandomForest,False,0.0
5,67,0.7613636359999999,False,False,0.4735556268740357,False,0.1,False,1.4753622091580912e-05,RandomForest,RandomForest,False,0.10074711125374806
1,2,2.0,False,False,0.015734485104173992,False,0.0,False,2.2204460492503185e-16,RandomForest,RandomForest,False,0.0
1,22,0.833333333,False,False,0.13257914070584667,False,0.1,False,2.2204460492503185e-16,RandomForest,RandomForest,False,0.0998
1,2,2.0,False,False,0.015734485104188463,False,0.0,False,2.2204460492503185e-16,RandomForest,RandomForest,False,0.0
5,60,0.841666667,False,True,0.7865323645008376,False,0.3,True,0.6000000000000001,RandomForest,RandomForest,False,0.3
1,50,1.05,True,False,0.4399275709749539,False,0.5,True,0.5022729617557807,AdaBoost,AdaBoost,True,0.5022729617557807
6,25,0.0,True,False,0.13650309123445686,False,0.3,False,0.5,RandomForest,RandomForest,False,0.3
6,48,0.7857142859999999,True,False,0.4117463561956338,True,0.6,False,0.29999999999999993,RandomForest,RandomForest,True,0.6
1,16,2.0,False,False,0.01781650233474595,False,0.0,False,2.2204460492503185e-16,RandomForest,RandomForest,False,0.0
1,2,2.0,False,False,0.015734485104173992,False,0.0,False,2.2204460492503185e-16,RandomForest,RandomForest,False,0.0
3,2,2.0,False,False,0.01981217652780933,False,0.0,False,1.0500564240555427e-08,RandomForest,RandomForest,False,0.0
5,60,0.571428571,False,True,0.8263023514955848,False,0.5,True,0.6000000000000001,RandomForest,RandomForest,False,0.5
2,7,0.916666667,False,False,0.08131760136047196,False,0.0,False,8.603189296775594e-09,RandomForest,RandomForest,False,0.0
1,3,2.0,False,False,0.015874597263175694,False,0.0,False,2.2204460492503185e-16,RandomForest,RandomForest,False,0.0
1,53,0.844827586,True,True,0.5309188817972189,False,0.3,False,0.5,Voting,Voting,True,0.5309188817972189
1,30,0.0,False,False,0.21784415772634724,False,0.4,False,0.2595421861255601,RandomForest,RandomForest,False,0.4
3,2,2.0,False,False,0.019812176527797785,False,0.0,False,8.582513538534786e-06,RandomForest,RandomForest,False,0.0
1,5,2.0,False,False,0.016153621534475658,False,0.0,False,2.2204460492503185e-16,RandomForest,RandomForest,False,0.0
1,46,0.5,False,True,0.6511495231777505,True,0.8,True,0.8,RandomForest,RandomForest,True,0.8
3,2,2.0,False,False,0.01981217652779883,False,0.0,False,0.00020976382487964887,RandomForest,RandomForest,False,0.0
1,57,0.8222222220000001,False,False,0.28303787336160835,False,0.0,False,0.5,RandomForest,RandomForest,False,0.0
1,23,1.333333333,False,False,0.0465698975248065,False,0.1,False,0.2,RandomForest,RandomForest,False,0.1
5,109,0.763736264,False,True,0.5486859935919194,False,0.5,False,0.257433446063712,RandomForest,RandomForest,False,0.5
1,32,2.0,False,False,0.020637006640101232,False,0.1,False,0.10000000000000002,RandomForest,RandomForest,False,0.1
1,25,0.675,False,True,0.5160763037897581,True,0.6,False,0.5,AdaBoost,AdaBoost,False,0.5
3,2,2.0,False,False,0.019812176527796942,False,0.1,False,2.2204460492503185e-16,RandomForest,RandomForest,False,0.1
1,10,0.666666667,False,False,0.11269912994648715,False,0.2,False,0.29999999999999993,RandomForest,RandomForest,False,0.2
5,67,0.775119617,False,False,0.4714451155352926,False,0.2,False,0.2676971364734468,RandomForest,RandomForest,False,0.2
1,2,2.0,False,False,0.015734485104191436,False,0.0,False,2.2204460492503185e-16,RandomForest,RandomForest,False,0.0
1,27,0.75,True,False,0.131308571770634,False,0.1,False,0.2124137673016528,RandomForest,RandomForest,False,0.1
2,8,0.931818182,False,False,0.08121405921418234,False,0.0,False,4.967053706610929e-09,RandomForest,RandomForest,False,0.0
1,22,2.0,False,False,0.01881332875479428,False,0.0,False,2.2204460492503185e-16,RandomForest,RandomForest,False,0.0
1,9,2.0,False,False,0.01673460725523544,False,0.0,False,2.532542955805362e-13,RandomForest,RandomForest,False,0.0
1,12,0.8,False,False,0.10055759264463683,False,0.0,False,4.967053706610929e-09,RandomForest,RandomForest,False,0.0
1,53,0.64,True,True,0.5845127719836789,False,0.5,False,0.4000000000000001,Voting,Voting,True,0.5845127719836789
5,80,0.847619048,True,False,0.2925242275392533,False,0.1,False,0.29999999999999993,RandomForest,RandomForest,False,0.1
5,61,0.675,True,True,0.7627901320966507,False,0.2,False,1.8339117995316928e-06,Voting,Voting,True,0.7627901320966507
2,26,0.7,True,False,0.15436299004965168,False,0.2,False,7.450580541412699e-09,RandomForest,RandomForest,False,0.2
1,3,2.0,False,False,0.01587459726319729,False,0.0,False,2.2204460492503185e-16,RandomForest,RandomForest,False,0.0
2,30,0.7333333329999999,False,True,0.5498537676190318,False,0.5,False,0.5,RandomForest,RandomForest,False,0.5
1,7,2.0,False,False,0.01644094356868708,False,0.0,False,1.683321715651579e-10,RandomForest,RandomForest,False,0.0
1,74,0.816666667,False,False,0.3189941639585627,False,0.2,False,0.26367324343797083,RandomForest,RandomForest,False,0.2
1,40,0.962566845,False,False,0.17086891004297855,False,0.4,False,0.466363598902481,RandomForest,RandomForest,False,0.4
