wmc,npm,loc,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
9,9,44,False,False,0.15103053710432232,False,0.0,False,0.10000000000000002,Voting,Voting,False,0.15103053710432232
9,9,9,False,False,0.08920732022865185,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.08920732022865185
2,1,123,False,False,0.08711994220786083,False,0.1,False,4.740966867476307e-07,Voting,Voting,False,0.08711994220786083
5,5,24,False,False,0.07546304632817856,False,0.0,False,0.004931243889516421,Voting,Voting,False,0.07546304632817856
0,0,8,False,False,0.03251288484056928,False,0.0,False,0.02012002527287632,Voting,Voting,False,0.03251288484056928
7,7,58,False,False,0.13583921501800042,False,0.1,False,0.29190222125917,Voting,Voting,False,0.13583921501800042
12,12,100,False,False,0.4614864215919292,False,0.3,True,0.9999999999999998,Voting,Voting,False,0.4614864215919292
0,0,4,False,False,0.030376739466399138,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.030376739466399138
16,16,105,False,True,0.9421855774587174,True,0.6,True,0.8315264337392437,Voting,Voting,True,0.9421855774587174
4,4,18,False,False,0.06637842884164054,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.06637842884164054
10,10,68,True,False,0.4819569959256384,False,0.5,True,0.5505102572168219,AdaBoost,AdaBoost,True,0.5505102572168219
8,8,47,False,False,0.116707100442644,False,0.0,False,1.7628389884097995e-11,Voting,Voting,False,0.116707100442644
15,15,74,False,True,0.8630176670327764,True,0.6,True,0.8,Voting,Voting,True,0.8630176670327764
0,0,7,False,False,0.03820342066037611,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.03820342066037611
3,2,21,False,False,0.03229557884341688,False,0.0,False,1.7260727488048018e-14,Voting,Voting,False,0.03229557884341688
2,2,2,False,False,0.0331505731634094,False,0.0,False,0.0029950730481624194,Voting,Voting,False,0.0331505731634094
4,4,38,False,False,0.06613206868731537,False,0.0,False,2.282364685996517e-11,Voting,Voting,False,0.06613206868731537
3,3,16,False,False,0.049494731440802964,False,0.0,False,7.579023117155675e-14,Voting,Voting,False,0.049494731440802964
18,2,296,False,False,0.3815657496397467,False,0.5,True,0.8,Voting,Voting,False,0.3815657496397467
4,4,38,False,False,0.07958084991095858,False,0.0,False,0.023960264582510937,Voting,Voting,False,0.07958084991095858
2,2,8,False,False,0.03952124608090039,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.03952124608090039
1,1,4,False,False,0.03290689570192872,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.03290689570192872
