cbm,max_cc,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
0,5,False,False,0.2582189199197053,False,0.1142857142857143,False,0.4883699465559962,Voting,Voting,False,0.2582189199197053
11,3,True,True,0.9780753210525924,True,0.6,True,0.8153651909869931,Voting,Voting,True,0.9780753210525924
0,0,False,False,0.16644052861037473,False,0.0,False,1.7414416690708368e-08,Voting,Voting,False,0.16644052861037473
0,3,False,False,0.34023361205348984,False,0.42960058230458015,False,0.4993754056376544,Voting,Voting,False,0.34023361205348984
0,4,False,False,0.3438926367583697,False,0.451047957466039,True,0.5010366399288729,Voting,Voting,False,0.3438926367583697
4,4,False,False,0.4106829205677931,False,0.10848096348096348,False,0.4844482256530157,Voting,Voting,False,0.4106829205677931
0,2,False,False,0.2694676009600556,False,0.13989389192678667,False,0.4936711176247294,Voting,Voting,False,0.2694676009600556
0,2,False,False,0.2694676009600556,False,0.13989389192678667,False,0.4936711176247294,Voting,Voting,False,0.2694676009600556
0,4,False,False,0.3438926367583697,False,0.451047957466039,True,0.5010366399288729,Voting,Voting,False,0.3438926367583697
10,3,True,True,0.6372791901789896,False,0.2,False,0.23528089303047106,Voting,Voting,True,0.6372791901789896
9,2,True,True,0.9483103325064148,True,0.9689419111774308,True,0.5214653104865026,Voting,Voting,True,0.9483103325064148
9,3,True,True,0.6271764774932178,False,0.4849579687632559,False,0.4367453077329189,Voting,Voting,True,0.6271764774932178
4,2,False,True,0.5809272989513455,True,0.6369239069896964,True,0.502851707818804,Voting,Voting,True,0.5549021019071649
4,7,True,False,0.4487682808655496,False,0.0,False,0.4514991295865428,Voting,Voting,False,0.4487682808655496
4,2,False,True,0.5809272989513455,True,0.6369239069896964,True,0.502851707818804,Voting,Voting,True,0.5549021019071649
4,2,False,True,0.5809272989513455,True,0.6369239069896964,True,0.502851707818804,Voting,Voting,True,0.5549021019071649
2,5,False,False,0.26169669996460976,False,0.06285714285714286,False,0.08231541779349251,Voting,Voting,False,0.26169669996460976
0,2,False,False,0.2694676009600556,False,0.13989389192678667,False,0.4936711176247294,Voting,Voting,False,0.2694676009600556
10,3,False,True,0.9860674425204534,True,1.0,True,0.8215288762083159,Voting,Voting,True,0.9860674425204534
0,2,False,False,0.14786643149917567,False,0.08163957384364116,False,0.4913970473195722,Voting,Voting,False,0.14786643149917567
0,1,False,False,0.11794760015210085,False,0.0,False,2.7096345461636054e-07,Voting,Voting,False,0.11794760015210085
5,2,False,True,0.5047543418738735,False,0.2966339682326019,False,0.3463187949046099,Voting,Voting,True,0.5047543418738735
0,5,False,False,0.14341618738921091,False,0.0,False,0.052715311550202495,Voting,Voting,False,0.14341618738921091
0,2,False,False,0.14786643149917567,False,0.08163957384364116,False,0.4913970473195722,Voting,Voting,False,0.14786643149917567
