cbo,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
9,False,False,0.3956122135517325,True,0.5574475524475524,False,0.4995347017524279,Voting,Voting,False,0.3956122135517325
9,False,False,0.4325736073686201,False,0.18150793650793648,False,0.49530176321798897,Voting,Voting,False,0.4325736073686201
5,False,False,0.12282843775348785,False,0.0,False,1.2540479926880026e-07,Voting,Voting,False,0.12282843775348785
12,False,True,0.5377335128192595,True,0.7383333333333333,True,0.5047891643968409,Voting,Voting,True,0.5799650539801171
1,False,False,0.05016358094119785,False,0.0,False,1.469295737343112e-09,Voting,Voting,False,0.05016358094119785
6,False,False,0.14965173253386158,False,0.0,False,1.76941723888109e-07,Voting,Voting,False,0.14965173253386158
1,False,False,0.03563300211371629,False,0.0,False,4.5457149772567666e-08,Voting,Voting,False,0.03563300211371629
3,False,False,0.053262715119196696,False,0.0,False,4.30289532367856e-08,Voting,Voting,False,0.053262715119196696
9,False,False,0.4019588519305938,False,0.475,False,0.4984722374932593,Voting,Voting,False,0.4019588519305938
9,True,False,0.2008167419683153,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.2008167419683153
2,False,False,0.07133530005608803,False,0.0,False,1.4498944944194517e-08,Voting,Voting,False,0.07133530005608803
2,False,False,0.04896643638286153,False,0.0,False,9.107664864413966e-09,Voting,Voting,False,0.04896643638286153
9,False,False,0.4292081655098394,False,0.2909632034632035,False,0.4979773466338916,Voting,Voting,False,0.4292081655098394
12,False,True,0.6940291834144073,False,0.2,True,0.5076355555741052,RandomForest,Voting,True,0.5995824277616529
4,False,False,0.08291322863157506,False,0.0,False,5.2671969482743165e-08,Voting,Voting,False,0.08291322863157506
4,False,False,0.0730830717165581,False,0.0,False,1.1511849759528885e-07,Voting,Voting,False,0.0730830717165581
11,False,True,0.8141774969155663,True,0.9,True,0.8304559190328232,Voting,Voting,True,0.8141774969155663
15,True,True,0.936639891467896,True,1.0,True,0.9618967286570601,Voting,Voting,True,0.949020602330491
25,True,True,0.6648917866305569,True,1.0,True,0.8270078649177877,Voting,Voting,True,0.7311769277366006
1,False,False,0.04007179230361136,False,0.0,False,2.78893698111521e-09,Voting,Voting,False,0.04007179230361136
7,False,False,0.19787461925636604,False,0.1341880341880342,False,0.005041350387106802,Voting,Voting,False,0.19787461925636604
9,False,True,0.5054571517327097,False,0.2861111111111111,False,0.4956041614495781,Voting,Voting,True,0.5054571517327097
14,True,True,0.8926520962246934,True,0.885,True,0.9647993551655608,Voting,Voting,True,0.8911216769797549
3,False,False,0.0674942786462583,False,0.0,False,3.901279769984744e-08,Voting,Voting,False,0.0674942786462583
2,False,False,0.054951593863014035,False,0.0,False,7.54182953259056e-09,Voting,Voting,False,0.054951593863014035
3,False,False,0.06116076898026367,False,0.0,False,5.036193709799715e-08,Voting,Voting,False,0.06116076898026367
1,False,False,0.03954597454716873,False,0.0,False,4.6208388778509554e-08,Voting,Voting,False,0.03954597454716873
