max_cc,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
1,False,False,0.3089470352775476,False,0.4860740843630003,False,0.4999208270195992,Voting,Voting,False,0.31448225556146797
1,False,False,0.35727674751429794,False,0.4993872765896906,True,0.5007413119943264,Voting,Voting,False,0.36171770154790395
14,True,True,0.9726794117574884,True,1.0,True,0.8813930214245088,Voting,Voting,True,0.9726794117574884
2,False,False,0.26962347772061185,False,0.10136153449233944,False,0.4802145069769861,Voting,Voting,False,0.26962347772061185
1,False,False,0.3674161303007513,False,0.4970490892892802,False,0.4997580550382646,Voting,Voting,False,0.37141714755348365
2,False,False,0.21750459318813234,False,0.07660856687172476,False,0.4844035938399352,Voting,Voting,False,0.21750459318813234
6,False,True,0.5615396218601711,False,0.06666666666666668,False,0.17920208027963205,Voting,Voting,True,0.5615396218601711
1,False,False,0.3671681264474798,False,0.488325779972613,False,0.4998282668762922,Voting,Voting,False,0.3708960542482531
1,False,False,0.3243801566979975,False,0.4177790313165044,False,0.4988482252305088,Voting,Voting,False,0.3272588891348693
2,False,False,0.22446177057773645,False,0.123376088248211,False,0.4884539173910737,Voting,Voting,False,0.22446177057773645
1,False,False,0.31597991370972944,False,0.4641691972504781,True,0.501374345669336,Voting,Voting,False,0.32054597006532676
1,False,False,0.327766191790787,False,0.4644096027359413,False,0.4990976245245144,Voting,Voting,False,0.3319814126939794
2,False,False,0.19861037797584868,False,0.119066431934079,False,0.4940947475564103,Voting,Voting,False,0.19861037797584868
1,False,False,0.3379125213371549,False,0.4978262850916234,False,0.4991671722629306,Voting,Voting,False,0.3428437827745173
3,False,False,0.42452252318489697,True,0.5754761904761905,False,0.4988003702572014,Voting,Voting,False,0.42452252318489697
1,False,False,0.3571176278087666,True,0.5291191350091841,False,0.4987174703919424,Voting,Voting,False,0.3624201790904751
