cbo,rfc,lcom,npm,lcom3,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
6,50,33,9,0.916666667,True,True,0.9819104945870056,True,1.0,True,0.9999999999999998,RandomForest,RandomForest,True,1.0
12,77,68,13,0.834090909,True,True,0.9999969134675648,True,1.0,True,0.8999999999999999,RandomForest,RandomForest,True,1.0
3,3,1,1,2.0,False,False,0.07573901519599087,False,0.0,False,2.2204460492503185e-16,RandomForest,RandomForest,False,0.0
2,5,6,4,2.0,False,False,0.03015210507186682,False,0.3,False,0.10000000000000002,RandomForest,RandomForest,False,0.3
8,13,64,11,0.9090909090000001,True,True,0.9999931369972902,True,0.8,True,0.9999999999999998,RandomForest,RandomForest,True,0.8
5,37,28,8,0.975,True,True,0.9498616433028524,True,1.0,True,0.9999999999999998,RandomForest,RandomForest,True,1.0
4,3,3,3,2.0,False,False,0.38621314363844905,False,0.0,False,0.29999999999999993,RandomForest,RandomForest,False,0.0
6,15,10,4,2.0,True,False,0.4842920890211634,False,0.5,True,0.6000000000000001,AdaBoost,AdaBoost,True,0.6000000000000002
2,7,0,3,0.0,False,False,0.026259244221269226,False,0.0,False,2.2204460492503185e-16,RandomForest,RandomForest,False,0.0
5,15,1,1,2.0,False,False,0.129227690146083,False,0.2,False,0.29999999999999993,RandomForest,RandomForest,False,0.2
6,25,3,1,2.0,True,False,0.4552499919500623,False,0.4,False,0.5,RandomForest,RandomForest,False,0.4
2,11,28,8,2.0,True,False,0.267281649596469,False,0.4,False,0.2500000000000001,RandomForest,RandomForest,False,0.4
0,2,0,1,2.0,False,False,0.022925129386531528,False,0.0,False,2.2204460492503185e-16,RandomForest,RandomForest,False,0.0
5,43,33,9,0.8888888890000001,True,True,0.9753757812428696,True,0.7,True,0.9999999999999998,RandomForest,RandomForest,True,0.7
4,7,1,1,2.0,False,False,0.09889679228430798,False,0.0,False,2.2204460492503185e-16,RandomForest,RandomForest,False,0.0
8,6,0,5,0.25,False,False,0.08734601833799527,False,0.1,False,2.1948559563119235e-06,RandomForest,RandomForest,False,0.1
22,57,242,25,0.93452381,True,True,1.0,True,1.0,True,0.9999999999999998,RandomForest,RandomForest,True,1.0
6,9,0,1,0.875,False,False,0.18602117286218714,False,0.0,False,0.10000000000000002,RandomForest,RandomForest,False,0.0
1,34,23,7,0.38888888899999996,False,True,0.5740878628606094,False,0.5,False,0.29999999999999993,RandomForest,RandomForest,False,0.5
10,57,146,17,0.907894737,True,True,0.999999999999902,True,1.0,True,0.9999999999999998,RandomForest,RandomForest,True,1.0
1,34,1,5,0.333333333,False,False,0.007515403999592105,False,0.1,False,0.29999999999999993,RandomForest,RandomForest,False,0.1
4,26,0,4,0.666666667,False,False,0.0215861333579256,True,0.6,False,0.29999999999999993,RandomForest,RandomForest,True,0.6
1,7,15,5,2.0,False,False,0.1072879785274454,False,0.2,False,0.2,RandomForest,RandomForest,False,0.2
27,150,685,26,0.8979591840000001,True,True,1.0,True,1.0,True,0.9999999999999998,RandomForest,RandomForest,True,1.0
0,33,22,6,0.375,False,False,0.4834107095889939,False,0.3,False,0.10000000000000002,RandomForest,RandomForest,False,0.3
3,8,1,1,2.0,False,False,0.07420716626889938,False,0.0,False,2.2204460492503185e-16,RandomForest,RandomForest,False,0.0
4,23,6,4,1.333333333,True,False,0.023892096052858997,True,0.7,False,0.5,RandomForest,RandomForest,True,0.7
8,19,3,3,2.0,True,False,0.4315166315737297,True,0.7,False,0.29999999999999993,RandomForest,RandomForest,True,0.7
3,1,0,1,2.0,False,False,0.06139672090175505,False,0.0,False,2.2204460492503185e-16,RandomForest,RandomForest,False,0.0
17,73,15,6,2.0,True,True,0.9901388675838072,True,0.8,True,0.8999999999999999,RandomForest,RandomForest,True,0.8
2,10,0,2,0.0,False,False,0.04714300192180878,False,0.0,False,2.2204460492503185e-16,RandomForest,RandomForest,False,0.0
11,24,15,6,0.791666667,True,True,0.7886893479202525,True,0.8,True,0.8,RandomForest,RandomForest,True,0.8
10,15,1,2,2.0,False,False,0.3135896318907702,False,0.2,False,0.5,RandomForest,RandomForest,False,0.2
