cbo,lcom3,mfa,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
35,0.965786901,0.0,True,True,0.9999998454760398,True,1.0,True,0.9483715340154591,RandomForest,RandomForest,True,1.0
6,2.0,0.985714286,True,True,0.9863067757107647,True,1.0,True,0.9277451192159408,RandomForest,RandomForest,True,1.0
2,2.0,0.959183673,True,True,0.93571917112522,True,1.0,True,0.948925892025598,RandomForest,RandomForest,True,1.0
2,2.0,0.0,True,True,0.5577272729753798,True,0.9272095895957564,True,0.514725365686834,RandomForest,RandomForest,True,0.9272095895957564
0,2.0,0.0,False,False,0.1935954501303129,False,0.07607494328709825,False,0.487409655418087,RandomForest,RandomForest,False,0.07607494328709825
0,2.0,0.0,False,False,0.1935954501303129,False,0.07607494328709825,False,0.487409655418087,RandomForest,RandomForest,False,0.07607494328709825
26,0.825396825,0.0,True,True,0.9999923771334452,True,1.0,True,0.94636375497056,RandomForest,RandomForest,True,1.0
0,2.0,0.0,False,False,0.1935954501303129,False,0.07607494328709825,False,0.487409655418087,RandomForest,RandomForest,False,0.07607494328709825
2,2.0,0.959183673,True,True,0.93571917112522,True,1.0,True,0.948925892025598,RandomForest,RandomForest,True,1.0
4,0.1875,0.0,True,True,0.8198799796095777,True,1.0,True,0.9728043062896464,RandomForest,RandomForest,True,1.0
2,0.8,0.0,True,True,0.6559138811521104,True,0.9,True,0.8345756761385332,RandomForest,RandomForest,True,0.9
2,2.0,0.0,True,True,0.5577272729753798,True,0.9272095895957564,True,0.514725365686834,RandomForest,RandomForest,True,0.9272095895957564
3,2.0,0.953488372,True,True,0.9521315454334844,True,1.0,True,0.9544990135179356,RandomForest,RandomForest,True,1.0
2,2.0,0.979166667,True,True,0.939664552555836,True,1.0,True,0.9387419746275444,RandomForest,RandomForest,True,1.0
0,2.0,0.0,False,False,0.1935954501303129,False,0.07607494328709825,False,0.487409655418087,RandomForest,RandomForest,False,0.07607494328709825
0,2.0,0.0,False,False,0.1935954501303129,False,0.07607494328709825,False,0.487409655418087,RandomForest,RandomForest,False,0.07607494328709825
4,0.945054945,0.858695652,True,True,0.9664884088324848,True,1.0,True,0.9442878929245168,RandomForest,RandomForest,True,1.0
0,2.0,1.0,False,True,0.5646227823430815,False,0.0,False,0.18570552869046567,RandomForest,RandomForest,False,0.0
5,0.75,0.921568627,True,True,0.9827198989157754,True,1.0,True,0.9600991023401586,RandomForest,RandomForest,True,1.0
0,2.0,0.0,False,False,0.1935954501303129,False,0.07607494328709825,False,0.487409655418087,RandomForest,RandomForest,False,0.07607494328709825
2,2.0,0.0,True,True,0.5577272729753798,True,0.9272095895957564,True,0.514725365686834,RandomForest,RandomForest,True,0.9272095895957564
13,0.817567568,0.556962025,True,True,0.99897744301103,True,1.0,True,0.8563044362640158,RandomForest,RandomForest,True,1.0
2,2.0,0.0,True,True,0.5577272729753798,True,0.9272095895957564,True,0.514725365686834,RandomForest,RandomForest,True,0.9272095895957564
3,2.0,0.953488372,True,True,0.9521315454334844,True,1.0,True,0.9544990135179356,RandomForest,RandomForest,True,1.0
0,2.0,0.0,False,False,0.1935954501303129,False,0.07607494328709825,False,0.487409655418087,RandomForest,RandomForest,False,0.07607494328709825
0,1.111111111,0.0,False,False,0.21569956147723124,False,0.1,False,0.3695276898670706,RandomForest,RandomForest,False,0.1
0,0.933333333,0.0,True,False,0.23032342600518074,False,0.3,False,0.3529667773239257,RandomForest,RandomForest,False,0.3
0,2.0,0.0,False,False,0.1935954501303129,False,0.07607494328709825,False,0.487409655418087,RandomForest,RandomForest,False,0.07607494328709825
1,0.14285714300000002,0.0,True,True,0.687394126229885,True,0.7,False,0.42732812838171136,RandomForest,RandomForest,True,0.7
3,2.0,0.872340426,True,True,0.935342268119044,True,1.0,True,0.9388741815255358,RandomForest,RandomForest,True,1.0
0,2.0,0.0,False,False,0.1935954501303129,False,0.07607494328709825,False,0.487409655418087,RandomForest,RandomForest,False,0.07607494328709825
6,1.0,0.728682171,True,True,0.9743058520354404,True,1.0,True,0.9300212066617324,RandomForest,RandomForest,True,1.0
17,0.8560719640000001,0.651515152,True,True,0.9998782260307156,True,1.0,True,0.8970226354556377,RandomForest,RandomForest,True,1.0
2,2.0,0.0,True,True,0.5577272729753798,True,0.9272095895957564,True,0.514725365686834,RandomForest,RandomForest,True,0.9272095895957564
4,0.96,0.9375,True,True,0.973911778788518,True,1.0,True,0.9682927143159752,RandomForest,RandomForest,True,1.0
5,0.716666667,0.0,True,True,0.8127418561986047,True,1.0,True,0.9887635389707801,RandomForest,RandomForest,True,1.0
3,2.0,0.953488372,True,True,0.9521315454334844,True,1.0,True,0.9544990135179356,RandomForest,RandomForest,True,1.0
26,0.28571428600000004,0.818181818,True,True,0.999998306456386,True,0.8,True,0.8558082277500977,RandomForest,RandomForest,True,0.8
6,0.666666667,0.962025316,True,True,0.9901699102096854,True,1.0,True,0.952334140423712,RandomForest,RandomForest,True,1.0
0,2.0,0.0,False,False,0.1935954501303129,False,0.07607494328709825,False,0.487409655418087,RandomForest,RandomForest,False,0.07607494328709825
2,2.0,0.886792453,True,True,0.9182426684610068,True,1.0,True,0.9571991330966374,RandomForest,RandomForest,True,1.0
2,2.0,0.979166667,True,True,0.939664552555836,True,1.0,True,0.9387419746275444,RandomForest,RandomForest,True,1.0
6,2.0,0.52173913,True,True,0.9066152005156294,True,1.0,True,0.9208875063363879,RandomForest,RandomForest,True,1.0
0,2.0,0.0,False,False,0.1935954501303129,False,0.07607494328709825,False,0.487409655418087,RandomForest,RandomForest,False,0.07607494328709825
9,1.0,1.0,True,True,0.8308245520430741,True,0.575,True,0.7989898540136637,RandomForest,RandomForest,True,0.575
0,2.0,0.0,False,False,0.1935954501303129,False,0.07607494328709825,False,0.487409655418087,RandomForest,RandomForest,False,0.07607494328709825
3,0.941176471,0.846846847,True,True,0.9508136379413225,True,1.0,True,0.9149850843791596,RandomForest,RandomForest,True,1.0
2,2.0,0.0,True,True,0.5577272729753798,True,0.9272095895957564,True,0.514725365686834,RandomForest,RandomForest,True,0.9272095895957564
3,2.0,0.911111111,True,True,0.9441138566136659,True,1.0,True,0.9517714778267644,RandomForest,RandomForest,True,1.0
7,2.0,0.0,True,True,0.8207842696325631,True,0.8064285714285713,True,0.8964919498128163,RandomForest,RandomForest,True,0.8064285714285713
3,2.0,0.82,True,True,0.9210965401113757,True,1.0,True,0.9271277720470472,RandomForest,RandomForest,True,1.0
16,0.850806452,0.0,True,True,0.9993633610912376,True,0.9,True,0.9581021925638372,RandomForest,RandomForest,True,0.9
8,2.0,0.0,False,True,0.7626679079363501,True,0.6708333333333333,True,0.5085677517131291,RandomForest,RandomForest,True,0.7014448582010055
5,2.0,1.0,True,True,0.9804726641754988,True,1.0,True,0.9060502089983916,RandomForest,RandomForest,True,1.0
2,2.0,0.783333333,True,True,0.8833714961011973,True,1.0,True,0.9312473870570992,RandomForest,RandomForest,True,1.0
3,2.0,0.931818182,True,True,0.9482248087308286,True,1.0,True,0.9521929658977216,RandomForest,RandomForest,True,1.0
5,0.615384615,0.3,True,True,0.8875487077817662,True,1.0,True,0.9905812528849992,RandomForest,RandomForest,True,1.0
0,2.0,0.0,False,False,0.1935954501303129,False,0.07607494328709825,False,0.487409655418087,RandomForest,RandomForest,False,0.07607494328709825
