wmc,lcom,ce,mfa,cam,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
14,43,11,0.5,0.276923077,True,False,0.3776700203917058,True,0.7,True,0.5352786265502585,RandomForest,RandomForest,True,0.6417583189675012
3,3,4,0.9722222220000001,0.533333333,False,False,0.04640151645441598,False,0.0,False,0.09838893631210796,RandomForest,RandomForest,False,0.007933723439261586
25,194,5,0.0,0.261904762,False,True,0.8415715900546828,True,0.8,False,0.4381707507282166,AdaBoost,RandomForest,True,0.794951760688578
18,149,10,0.6,0.33823529399999996,False,False,0.4988220165161323,False,0.1,False,0.3801366058104623,RandomForest,RandomForest,False,0.17456546519315158
16,106,2,0.605263158,0.5,False,False,0.4465125464751178,False,0.0,False,0.16964878444401985,RandomForest,RandomForest,False,0.0
11,7,6,0.72972973,0.333333333,True,False,0.4626099551055531,True,0.7,False,0.3619791505289139,RandomForest,RandomForest,True,0.650000948395301
8,8,12,0.833333333,0.265625,False,False,0.2765564738587454,False,0.5,False,0.3744250026737232,RandomForest,RandomForest,False,0.45925270072024427
3,3,3,0.967741935,0.533333333,False,False,0.03956343964349061,False,0.0,False,0.06178261252226022,RandomForest,RandomForest,False,0.00555320833784936
4,0,3,0.0,0.583333333,False,False,0.4267818011826536,False,0.2,False,0.4769798687221449,RandomForest,RandomForest,False,0.2276033791728657
3,3,2,0.7142857140000001,0.666666667,False,False,0.03467992118863684,False,0.0,False,0.06282011859115788,RandomForest,RandomForest,False,0.0
8,0,15,0.833333333,0.28125,True,False,0.4702196823420126,False,0.5,False,0.4983189489152329,RandomForest,RandomForest,False,0.49506286428279656
12,66,15,0.0,0.295454545,False,True,0.9295056764541836,True,0.6,True,0.6385521870500239,RandomForest,RandomForest,True,0.6552813301416702
13,58,4,0.6333333329999999,0.46153846200000004,False,False,0.42404454708914896,False,0.3,False,0.35008969952277424,RandomForest,RandomForest,False,0.309541602554078
6,15,0,0.8125,0.5,False,False,0.03226567302098602,False,0.0,False,0.08744665294800481,RandomForest,RandomForest,False,0.0
4,0,3,0.571428571,0.45,True,False,0.4028809600710843,True,0.9,True,0.7634848477322469,RandomForest,RandomForest,True,0.865280318235799
37,0,13,0.0,0.177777778,False,True,0.9773391282263484,True,1.0,True,0.8512971703770188,RandomForest,RandomForest,True,0.9914096003773365
9,0,11,0.0,0.37777777799999995,True,True,0.6490044490404504,True,0.8,True,0.8186021054495684,RandomForest,RandomForest,True,0.7758565360869449
1,0,0,0.0,1.0,False,False,0.028567661508383562,False,0.0,False,0.12027760315428054,RandomForest,RandomForest,False,0.0
5,10,9,0.9090909090000001,0.4,True,False,0.4652422121405093,True,1.0,True,0.8589175243896485,RandomForest,RandomForest,True,0.962967656796173
6,15,9,0.882352941,0.333333333,False,False,0.14870200016811094,False,0.1,False,0.15054621710992627,RandomForest,RandomForest,False,0.10964118747378626
153,8092,61,0.0,0.145559211,True,True,0.6688665086525848,True,1.0,True,0.9197912268821108,RandomForest,RandomForest,True,0.9430860252506569
12,42,2,0.0,0.36111111100000004,True,False,0.1329233926407408,True,0.7,True,0.5867214447818327,RandomForest,RandomForest,True,0.6033225707536242
9,8,4,0.75,0.333333333,False,False,0.09081663891802062,True,0.7,False,0.4515014057095617,RandomForest,RandomForest,True,0.5919863803376939
5,10,9,0.692307692,0.44,True,False,0.463330702154398,True,1.0,True,0.6898878488816729,RandomForest,RandomForest,True,0.9529565861686706
4,0,1,0.9285714290000001,0.666666667,False,False,0.02528936586040421,False,0.0,False,0.039501543191847316,RandomForest,RandomForest,False,0.0
4,6,5,0.9375,0.39285714299999996,True,False,0.07150367365700787,False,0.4,True,0.5592625960420141,AdaBoost,AdaBoost,True,0.430523034640541
89,492,4,0.0,0.33901515200000004,True,False,0.3839699776057474,False,0.4,False,0.4125979585319453,RandomForest,RandomForest,False,0.3980030181765479
5,0,4,0.0,0.433333333,True,False,0.12061716444359755,True,0.8,True,0.5800926545458377,RandomForest,RandomForest,True,0.750039434388302
3,3,6,0.9722222220000001,0.533333333,False,False,0.06483007664757336,False,0.0,False,0.052219647045649256,RandomForest,RandomForest,False,0.0065027624274012555
7,0,18,0.857142857,0.387755102,True,False,0.4316305362730016,True,0.8,True,0.5391621310978835,RandomForest,AdaBoost,True,0.6291597326820793
7,0,7,0.571428571,0.47619047600000003,True,False,0.10572768962167677,False,0.5,False,0.4122610062462152,RandomForest,RandomForest,False,0.47322159421488286
19,61,0,0.46428571399999996,0.305555556,False,False,0.4070775962469329,False,0.2,False,0.16767370800414946,RandomForest,RandomForest,False,0.2308520966275923
2,1,5,0.0,0.5,True,False,0.12717411871006545,False,0.1,False,0.2143080973931409,RandomForest,RandomForest,False,0.1078601231168448
3,3,3,0.967741935,0.533333333,False,False,0.042285443315914335,False,0.0,False,0.0885080674490721,RandomForest,RandomForest,False,0.007266306153610357
9,2,9,0.6,0.37777777799999995,True,False,0.4777963593871529,True,0.7,False,0.4447828861548816,RandomForest,RandomForest,True,0.6556576869652516
5,10,2,0.0,0.5,False,False,0.420226886373216,False,0.4,True,0.6648072691704641,RandomForest,RandomForest,False,0.4
43,897,44,0.505882353,0.06760411,True,True,0.9988527250971144,True,1.0,True,0.8860159881484314,RandomForest,RandomForest,True,0.9954041429665461
1,0,1,0.0,1.0,False,False,0.03581611655220838,False,0.0,False,0.04761727668087483,RandomForest,RandomForest,False,0.0
4,6,7,0.9375,0.4166666670000001,False,False,0.4229918517905531,False,0.5,False,0.4276338470359616,RandomForest,RandomForest,False,0.4917014277125841
5,0,1,0.8666666670000001,0.4,False,False,0.3757515545949761,False,0.1,False,0.4090031900212085,RandomForest,RandomForest,False,0.1
5,0,1,0.0,0.46666666700000003,False,False,0.08067292191189343,False,0.0,False,0.11353409679723205,RandomForest,RandomForest,False,0.0
3,0,4,0.666666667,0.611111111,False,False,0.38979091194270654,False,0.2,False,0.3924840375835328,RandomForest,RandomForest,False,0.2212374971959022
10,0,8,0.75,0.385714286,True,False,0.11516761813021265,False,0.5,False,0.4820382979687616,RandomForest,AdaBoost,False,0.4403068881361171
20,118,3,0.5476190479999999,0.316666667,False,False,0.13540416263112978,False,0.5,False,0.10831547144438908,RandomForest,RandomForest,False,0.4282919427119732
6,15,9,0.882352941,0.333333333,False,False,0.129382935791596,False,0.3,False,0.1161831675008164,RandomForest,RandomForest,False,0.26642305855299225
9,18,2,0.0,0.4,True,False,0.09636543617537648,False,0.5,False,0.4048720916429826,RandomForest,RandomForest,False,0.5
28,0,9,0.0,0.25,True,True,0.8849723665990004,True,0.6,True,0.5316768019127748,RandomForest,RandomForest,True,0.6403416385738883
6,3,2,0.0,0.46666666700000003,False,False,0.43233722547760695,False,0.2,True,0.5540802775343469,RandomForest,RandomForest,False,0.2
3,1,5,0.0,0.46666666700000003,False,False,0.13697813262235872,True,0.7,False,0.4859584189043942,RandomForest,RandomForest,True,0.6606096869437524
5,10,8,0.9090909090000001,0.4,False,False,0.4458916812098209,True,0.8,True,0.8852252614806048,Voting,RandomForest,True,0.7863699832700216
5,0,4,0.0,0.48,True,False,0.12244210812302385,False,0.4,True,0.536147509355364,AdaBoost,RandomForest,False,0.39283173176157726
8,6,3,0.666666667,0.375,False,False,0.07611561104569176,False,0.3,False,0.30471808319269905,RandomForest,RandomForest,False,0.26653046270815517
